CDM Item Number,Revenue Code,Service ID,Service Mod1,Service Mod2,Service Mod3,Service Mod4,Service Description,Gross Charge,Discounted Cash Price,Minimum Negotiated Charge,Maximum Negotiated Charge,Payer Negotiated Charge: Blue Cross Blue Shield of MT (Plan: All),Payer Negotiated Charge: Blue Cross Blue Shield of MT (Plan: Default),Payer Negotiated Charge: Blue Cross Blue Shield of MT (Plan: Federal),Payer Negotiated Charge: Blue Cross Blue Shield of MT (Plan: Medicare Advantage),Payer Negotiated Charge: Medicare A MT JF (Plan: All),Payer Negotiated Charge: Medicare B MT JF (Plan: All),Payer Negotiated Charge: Medicare Railroad Palmetto GBA (Plan: All),hospital
3222920,250,J2560,,,,,PHENOBARB ELIXIR 16.2MG/5,48.0,48.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3222921,250,J3490,,,,,IBUPROFEN LIQ 50MG/1.25ML,16.0,16.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3222922,250,J3490,,,,,SENNA LAX LIQ 176MG/5ML,16.0,16.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3222923,259,J2001,,,,,LIDOCAINE INJ 50MG/5ML,53.0,53.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3222925,259,J2370,,,,,PHENYLEPHRINE INJ 10MG/ML,43.0,43.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3222926,250,A4216,,,,,DEXTROSE 50% VIAL 50ML,36.0,36.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3222927,259,J1800,,,,,INDERAL INJ (1 MG/1 ML),55.0,55.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3222928,259,J3490,,,,,FOLIC ACID INJ 5MG/ML,208.0,208.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3222931,253,J8499,,,,,ER-AMOXICILN CAP 500MG,36.0,36.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3222932,259,J0456,,,,,AZITHROMYCIN INJ 500MG,62.0,62.0,40.96,40.96,,,,,40.96,,,Fallon_Medical_Complex_Hospital
3222933,259,S0073,,,,,AZTREONAM INJ 1GM,83.0,83.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3222934,636,J0610,,,,,CA GLUCONATE 10% INJ 10ML,52.0,52.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3222935,259,J0690,,,,,CEFAZOLIN INJ 1GM,49.0,49.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3222936,259,J0713,,,,,CEFTAZIDIME INJ 2GM,155.0,155.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3222937,259,J0696,,,,,CEFTRIAXONE INJ 1 GM,128.0,128.0,21.1,21.1,,,,,21.1,,,Fallon_Medical_Complex_Hospital
3222938,250,J0696,,,,,CEFTRIAXONE INJ 2GM,195.0,195.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3222939,259,J0696,,,,,CEFTRIAXONE INJ 500MG,54.0,54.0,21.1,21.1,,,,,21.1,,,Fallon_Medical_Complex_Hospital
3222940,636,J0744,,,,,CIPRO PREMIX 200MG/100ML,64.0,64.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3222941,636,J0744,,,,,CIPRO PREMIX 400MG/200ML,52.0,52.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3222943,259,J3490,,,,,DILTIAZEM INJ 50MG/10ML,44.0,44.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3222944,250,S0028,,,,,FAMOTIDINE INJ 10MG/ML-2,65.0,65.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3222946,259,J3490,,,,,FOLIC ACID INJ [1 MG/0.2,45.0,45.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3222948,250,J0743,,,,,IMIPENEM/CILAS INJ 500MG,112.0,112.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3222949,259,J1756,,,,,IRON SUCROS INJ 100MG/5ML,150.0,150.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3222950,258,S5010,,,,,DEXT/0.45 SOD CL 1000ML,121.0,121.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3222952,250,J7060,,,,,DEXT 5%   100 ML,101.0,101.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3222955,258,J7050,,,,,SOD CL 0.9%   50 ML,121.0,121.0,77.55,77.55,,,,,77.55,,,Fallon_Medical_Complex_Hospital
3222956,258,J7040,,,,,SOD CL 0.9%  100ML,121.0,121.0,78.73,78.73,,,,,78.73,,,Fallon_Medical_Complex_Hospital
3222957,258,J7050,,,,,SOD CL 0.9%   250 ML,101.0,101.0,77.55,77.55,,,,,77.55,,,Fallon_Medical_Complex_Hospital
3222958,258,J7030,,,,,SOD CL 0.9% 1000 ML,121.0,121.0,79.69,79.69,,,,,79.69,,,Fallon_Medical_Complex_Hospital
3222959,259,J1956,,,,,LEVOFLOXACIN PREMIX 500MG,80.0,80.0,35.89,35.89,,,,,35.89,,,Fallon_Medical_Complex_Hospital
3222960,259,J2020,,,,,LINEZOLID PMIX 600MG/300M,169.0,169.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3222962,259,J2765,,,,,METOCLOPRAMIDE INJ 5MG/ML,44.0,44.0,31.48,31.48,,,,,31.48,,,Fallon_Medical_Complex_Hospital
3222963,259,J3490,,,,,METRONIDAZOLE PREMIX500MG,58.0,58.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3222966,250,J8499,,,,,MOXIFLOXACIN TAB 400MG,64.0,64.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3222967,259,J3490,,,,,MULTIVITAMIN INJ 10ML,71.0,71.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3222968,259,C9113,,,,,PANTOPRAZOLE INJ 40MG,64.0,64.0,40.96,40.96,,,,,40.96,,,Fallon_Medical_Complex_Hospital
3222969,259,J2543,,,,,PIPERACILLIN/TAZO 3.375GM,90.0,90.0,19.2,19.2,,,,,19.2,,,Fallon_Medical_Complex_Hospital
3222970,259,J1956,,,,,LEVOFLOXACIN PREMIX 750MG,163.0,163.0,35.89,35.89,,,,,35.89,,,Fallon_Medical_Complex_Hospital
3222974,250,J8499,,,,,TERAZOSIN CAP 5 MG,16.0,16.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3222975,250,J3490,,,,,EZETIMIBE TAB 10MG,27.0,27.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3222978,253,J8499,,,,,ER-CEPHALEXIN CAP 500 MG,36.0,36.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3222979,253,J8499,,,,,ER-CIPROFLOX CAP 500 MG,89.0,89.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3222980,253,J8499,,,,,ER-CYCLOBENZA TAB 10 MG,36.0,36.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3222981,253,J8499,,,,,ER-DIPHENHYDR CAP 25 MG,36.0,36.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3222983,253,J3490,,,,,ER-OFLOXACIN OTIC DROPS 3,63.0,63.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3222984,253,J8499,,,,,ER-CEFDINIR SUSP 125MG/5,243.0,243.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3222985,253,J3490,,,,,ER-PROMETH SUP 12.5 MG,40.0,40.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3222986,253,J3490,,,,,ER-PROMETHAZINE SUP 25MG,39.0,39.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3222988,253,J3490,,,,,ER-ACETAM SUP PED 120MG,36.0,36.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3222989,636,J7608,,,,,ACETYLCYSTEINE 20%-OVERDO,151.0,151.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3222990,272,A4216,,,,,NACL FLUSH INJ- 10 ML,41.0,41.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3222991,250,,,,,,BRIMONIDINE EYE DROP  **,155.0,155.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3222993,250,J8499,,,,,METOPROLOL TAB 50MG,16.0,16.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3222994,250,J8499,,,,,DOCUSATE CAP 240MG,16.0,16.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3222995,250,J3490,,,,,HYDROCODONE/ACET TAB 5/32,21.0,21.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3222996,250,J8499,,,,,HYDROCODONE TAB 10/325MG,23.0,23.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3222997,250,J3490,,,,,MILK OF MAGNESIA 30ML,26.0,26.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3222998,253,J3490,,,,,ER-ACETAMIN SUP 650MG,36.0,36.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3222999,253,J3490,,,,,ER-IBUPROPHEN SUS 5ML,36.0,36.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3223000,253,J8499,,,,,ER-DIPHN/ATR2.5MG/0.025MG,36.0,36.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3223001,250,,,,,,MAGNESIUM OXIDE TAB 250MG,16.0,16.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223003,250,J3490,,,,,LATANOPROST 125MG/25ML,70.0,70.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3223004,250,J3490,,,,,VIT FERROUS GLUC TAB 324M,16.0,16.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3223005,636,J1830,,,,,INTERFERON BETA-1B SYR *N,361.0,361.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3223006,250,J8499,,,,,POTASS ER CAP 10MEQ,16.0,16.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3223007,250,J3490,,,,,CYCLOPENTOLATE EYE DROP,107.0,107.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3223008,250,J8499,,,,,WARFARIN TAB 5MG,16.0,16.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3223009,250,,,,,,FORMOTEROL NEB 20MCG/2ML,47.0,47.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223010,250,,,,,,BUDESONIDE NEB 0.5MG/2ML,55.0,55.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223011,253,J3490,,,,,ER-ACETMIN/COD 325/30MG,36.0,36.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3223012,253,J8499,,,,,ER-HYDROCODONE 5/325MG,36.0,36.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3223013,253,J8499,,,,,ER-SULFAMETH/TRIMETH DS,36.0,36.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3223014,253,J3490,,,,,ER-GENTMICIN EYE DRP 0.3%,192.0,192.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3223015,253,Q0144,,,,,ER-AZITHRO SUS 200MG/5ML,171.0,171.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3223016,259,J0133,,,,,ACYCLOVIR INJ 1000MG,109.0,109.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3223017,253,Q0144,,,,,ER-AZITHROMYCIN PAK 250 M,36.0,36.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3223018,250,J8499,,,,,VANCOMYCIN CAP 125MG,68.0,68.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3223019,250,J3490,,,,,TIMOLOL/DORZO EYE DROPS,224.0,224.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3223020,250,J8499,,,,,OXYCODONE TAB 10MG,36.0,36.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3223022,250,J3490,,,,,DIFLUPREDNATE OPHTH 0.05%,233.0,233.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3223023,250,,,,,,PROMETHAZINE/COD LIQ 6.25,25.0,25.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223024,250,,,,,,CLINDAMYCIN CAP 150MG,16.0,16.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223025,250,,,,,,LORATADINE/PSEUD 5/120MG,16.0,16.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223026,250,,,,,,ROSUVASTATIN TAB 40MG,17.0,17.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223028,250,,,,,,DILTIAZEM CD CAP 300MG,16.0,16.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223029,250,,,,,,MYCOPHENOLATE TAB 500MG,26.0,26.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223030,250,,,,,,VERAPAMIL TAB 80MG,16.0,16.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223031,250,,,,,,DICLOFNC/MISOPRSTL 75/200,16.0,16.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223032,250,,,,,,PRAMOXINE/PHYL/GLY/PET,48.0,48.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223033,250,,,,,,BENEFIBER POWDER 2TSP,16.0,16.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223035,250,,,,,,ALPRAZOLAM TAB 0.25MG,22.0,22.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223036,250,,,,,,VIT FISH OIL CAP 1000MG,16.0,16.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223037,250,,,,,,PROPRANOLOL TAB 10MG,16.0,16.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223038,250,J8499,,,,,FAMOTIDINE TAB 20MG,16.0,16.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3223039,250,,,,,,HYDROCORTISONE CREAM 1%,38.0,38.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223040,250,,,,,,BRIMONDNE/TIMLOL0.2%/0.5%,324.0,324.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223041,250,,,,,,TETRACYCLINE CAP 250MG,16.0,16.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223044,250,,,,,,HYDROMORPHONE TAB 2 MG,21.0,21.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223045,250,,,,,,OXYCODONE/ACET CAP 5/500M,22.0,22.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223046,250,J8499,,,,,TEMAZEPAM CAP 15MG,16.0,16.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3223047,250,J3490,,,,,FORMOTEROL INH 12MCG/CAP,438.0,438.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3223048,250,,,,,,PSYLLIUM FIBER 3.4GM/TBSP,16.0,16.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223049,250,,,,,,PROPRANOLOL CAP 60MG,16.0,16.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223050,250,,,,,,PROPRANOLOL CAP ER 80 MG,16.0,16.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223051,250,,,,,,INDOMETHACIN ER CAP 75MG,16.0,16.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223052,250,,,,,,SIMVASTATIN TAB 5MG,16.0,16.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223053,250,,,,,,LORAZEPAM TAB 0.5MG,22.0,22.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223054,250,,,,,,NAPROXEN SODIUM TAB 220 M,16.0,16.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223055,250,,,,,,ENALAPRIL MALEAT TAB 10MG,16.0,16.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223056,250,,,,,,METOPROLOL SUCC ER 50MG,16.0,16.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223057,250,,,,,,BENAZAPRIL TAB 40MG,16.0,16.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223058,250,,,,,,RIZATRIPTAN TAB 10MG,46.0,46.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223059,250,,,,,,MEMANTINE TAB 5MG,16.0,16.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223060,250,,,,,,CYCLOSPORINE CAP 100MG,22.0,22.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223061,250,,,,,,PRAMIPEXOLE TAB 0.125MG,17.0,17.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223063,250,,,,,,FLEET MIN OIL ENEMA  118M,43.0,43.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223064,250,,,,,,VIT C TAB 500MG,16.0,16.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223066,250,J8499,,,,,CEFDINIR SUSP 250MG/5ML,193.0,193.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3223067,250,,,,,,MEPERDINE INJ 100MG,55.0,55.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223068,250,,,,,,VIT B COMP C-FOLIC ACID,16.0,16.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223069,250,,,,,,VIT B50 W/FOLIC ACID,16.0,16.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223070,250,,,,,,VIT CALCIUM W/VIT D 600MG,16.0,16.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223071,250,,,,,,VIT CALCIUM W/VIT D 1200M,16.0,16.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223073,250,,,,,,VIT E SOFTGEL 400IU,16.0,16.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223074,250,,,,,,VIT LUTEIN/ZEANTHIN 2MG,16.0,16.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223075,250,,,,,,VIT MAGNESIUM TAB 250MG,32.0,32.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223076,250,,,,,,FLUTICS/SALM 100/50MCG**,566.0,566.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223079,250,,,,,,VIT K INJ 1MG/0.5ML,54.0,54.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223080,250,,,,,,PROCHLORPERAZINE INJ 10MG/2M,54.0,54.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223081,250,,,,,,PHENYTOIN SOD INJ 250/5ML,76.0,76.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223082,250,,,,,,DOBUTAMINE INJ 250MG/20ML,68.0,68.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223083,250,,,,,,CA CHLR INJ 100MG/ML,51.0,51.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223084,250,J1644,,,,,"HEPARIN INJ 10,000U/ML",61.0,61.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3223085,260,J3360,,,,,DIAZEPAM INJ 5MG/ML,72.0,72.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3223086,250,S0166,,,,,OLANZAPINE INJ 10MG,141.0,141.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3223087,636,,,,,,DIGOXIN INJ 0.5MG/2ML,51.0,51.0,20.58,20.58,20.58,20.58,,,,,,Fallon_Medical_Complex_Hospital
3223088,250,J2690,,,,,PROCAINAMDE HCL 500MG/2ML,157.0,157.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3223089,250,,,,,,AMOXICILLIN/CLAV SUSP 125MG/5ML NOTGENER,2003.0,2003.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223091,250,,,,,,METHYLERGONOVINE INJ 1ML,51.0,51.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223092,636,J0561,,,,,"PEN G BENZTHN 1,200,000U",225.0,225.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3223093,250,,,,,,AMOXICILLIN SUSP 125MG/5ML,18.0,18.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223094,250,,,,,,AMOXICILLIN SUS 250MG/5ML,26.0,26.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223095,250,,,,,,CEPHALEXIN SUSP 250MG/5ML,67.0,67.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223096,250,,,,,,ER-NITROGLYC TAB 0.4MG,138.0,138.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223097,250,,,,,,ER-LORAZEPAM TAB 0.5MG,36.0,36.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223098,250,,,,,,TRIAMTERENE HCL 75MG/50MG,16.0,16.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223099,636,J9217,,,,,LEUPROLIDE INJ 22.5MG,15005.0,15005.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3223100,636,J9217,,,,,LEUPROLIDE INJ 30MG,9785.0,9785.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3223101,250,,,,,,PHENYTOIN SOD INJ750MG/ML,125.0,125.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223102,250,J8499,,,,,ER-CEFDINIR SUS 250MG/5ML,299.0,299.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3223103,250,,,,,,TIMOLOL MALEATE OPTH 0.5%,68.0,68.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223104,250,,,,,,VIT MAXIVISION MULTI TAB,16.0,16.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223105,259,Q2037,,,,,FLU VAC =>4 YEARS INJ,68.0,68.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3223106,263,J7060,,,,,DEXT 5% 500ML,121.0,121.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3223109,253,,,,,,ER-DIPHENHYD LIQ 12.5MG,36.0,36.0,53.69,53.69,53.69,53.69,,,,,,Fallon_Medical_Complex_Hospital
3223110,259,J0840,,,,,ANTIVENIN POLYVALENT,9620.0,9620.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3223111,250,,,,,,FENOFIBRATE TAB 134MG,16.0,16.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223112,250,,,,,,VIT B/VITC/BIOTIN/FOL TAB,16.0,16.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223113,250,,,,,,OXYCODONE ER TAB 40MG,19.0,19.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223114,259,S0040,,,,,TICARCIL/CLAV INJ 3.1GM,79.0,79.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3223115,250,,,,,,TRIAMCINOLONE CRM 0.1%,41.0,41.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223116,250,,,,,,ANTI/BENZO OTIC DROP **,58.0,58.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223117,250,J8499,,,,,OXYCODONE IR TAB 5MG,22.0,22.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3223118,250,,,,,,VENLAFAXINE TAB 50MG,16.0,16.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223119,250,,,,,,SYSTANE EYE AMPULE,41.0,41.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223120,250,,,,,,BISACODYL EC TAB 5MG,16.0,16.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223122,250,,,,,,HYDROCORTISONE SUP 25MG,77.0,77.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223123,250,,,,,,METHOTREXATE TAB 2.5MG **,16.0,16.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223124,250,J8499,,,,,POTAS CHLORID LIQ 40MEQ/3,16.0,16.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3223125,250,J8499,,,,,RAMIPRIL CAP 5MG,16.0,16.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3223127,250,J1815,,,,,INS-LEVEMIR INJ 100U/ML,550.0,550.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3223129,250,J3490,,,,,METHIMAZOLE TAB 10MG,16.0,16.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3223131,250,J8499,,,,,ALUM/MAG LIQ 95/358MG/15M,24.0,24.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3223132,250,J7609,,,,,ALBUTEROL PED NEB O.63MG/,31.0,31.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3223134,250,J8499,,,,,GALANTAMINE TAB 8MG,16.0,16.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3223136,250,J8499,,,,,SUCRALFATE SUSP 1GM/10ML,32.0,32.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3223137,250,J8499,,,,,SODIUM BICARB TAB 650MG,16.0,16.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3223138,250,,,,,,IMMUNOCAL PLATINUM POWDER,48.0,48.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223139,250,,,,,,ULTIMATE FLORA CAP,16.0,16.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223140,250,,,,,,BROWN COW,25.0,25.0,8.58,24.35,24.35,24.35,,,8.58,,,Fallon_Medical_Complex_Hospital
3223141,250,J3480,,,,,POTAS PREMIX 40MEQ/100ML,53.0,53.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3223142,250,J8499,,,,,TRIAZOLAM TAB 0.25MG,16.0,16.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3223143,250,J3490,,,,,NICOTINE LOZENGE 4MG,16.0,16.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3223144,250,J3490,,,,,KETOROLAC EYE GTTS 0.4%,201.0,201.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
