"Pricing Data as of September 1, 2019",,,,
,,,,
DESCRIPTION,CDM,CPT, Base Price , Professional Fee 
LEAD BIPOLAR 45cm,4200772,C1898,"$1,841.00 ",
LEAD BIPOLAR 45cm MRI SAFE,4200773,C1898,"$1,282.00 ",
LEAD BIPOLAR 52cm,4200770,C1898,"$1,841.00 ",
LEAD BIPOLAR 52cm MRI SAFE,4200774,C1898,"$1,282.00 ",
LEAD BIPOLAR 58cm,4200771,C1898,"$1,845.00 ",
LEAD BIPOLAR 58cm MRI SAFE,4200775,C1898,"$1,282.00 ",
Lead Cap-Mayo PBDC,7055692,83655,$102.00 ,
LEAD QUADIPOLAR 58cm,4200776,C1898,"$1,282.00 ",
LEAD QUADIPOLAR 65cmC5,4200777,C1898,$276.00 ,
"Lead w Demo, B-Mayo",7052605,83655,$102.00 ,
"Lead, 24 Hr Urine",7050335,83655,$86.00 ,
"LEAD, URINE",7052063,83655,$85.00 ,
Legionella Antigen Urine-Mayo,7052429,87899,$124.00 ,
Legionella pneumophila Antibody-Mayo,7052535,86713,$193.00 ,
Legionella pneumophilia serogroup 1,7050363,86713,$199.00 ,
LENS FOLDABLE 10.0,3200370,,$753.00 ,
LENS FOLDABLE 10.5,3200418,,$753.00 ,
LENS FOLDABLE 11.0,3200369,,$741.00 ,
LENS FOLDABLE 11.5,3200405,,$868.00 ,
LENS FOLDABLE 12.0,3200367,,$637.00 ,
LENS FOLDABLE 12.5,3200422,,$870.00 ,
LENS FOLDABLE 13.0,3200404,,$858.00 ,
LENS FOLDABLE 13.5,3200406,,$819.00 ,
LENS FOLDABLE 14.0,3200371,,$793.00 ,
LENS FOLDABLE 14.5,3200372,,$735.00 ,
LENS FOLDABLE 15.0,3200373,,$722.00 ,
LENS FOLDABLE 15.5,3200374,,$754.00 ,
LENS FOLDABLE 16.0,3200375,,$720.00 ,
LENS FOLDABLE 16.5,3200376,,$723.00 ,
LENS FOLDABLE 17.0,3200377,,$718.00 ,
LENS FOLDABLE 17.5,3200378,,$715.00 ,
LENS FOLDABLE 18.0,3200379,,$715.00 ,
LENS FOLDABLE 18.5,3200380,,$665.00 ,
LENS FOLDABLE 19.0,3200381,,$715.00 ,
LENS FOLDABLE 19.5,3200382,,$715.00 ,
LENS FOLDABLE 20.0,3200383,,$715.00 ,
LENS FOLDABLE 20.5,3200384,,$715.00 ,
LENS FOLDABLE 21.0,3200385,,$716.00 ,
LENS FOLDABLE 21.5,3200386,,$716.00 ,
LENS FOLDABLE 22.0,3200387,,$717.00 ,
LENS FOLDABLE 22.5,3200388,,$724.00 ,
LENS FOLDABLE 23.0,3200389,,$733.00 ,
LENS FOLDABLE 23.5,3200390,,$768.00 ,
LENS FOLDABLE 24.0,3200410,,$753.00 ,
LENS FOLDABLE 24.5,3200411,,$871.00 ,
LENS FOLDABLE 25.0,3200412,,$793.00 ,
LENS FOLDABLE 25.5,3200413,,$858.00 ,
LENS FOLDABLE 26.0,3200414,,$766.00 ,
LENS FOLDABLE 26.5,3200415,,$865.00 ,
LENS FOLDABLE 27.0,3200574,,$793.00 ,
LENS FOLDABLE 27.5,3200575,,$871.00 ,
LENS FOLDABLE 28.0,3200576,,$869.00 ,
LENS FOLDABLE 28.5,3200577,,$848.00 ,
LENS FOLDABLE 29.0,3200578,,$871.00 ,
LENS FOLDABLE 29.5,3200417,,$871.00 ,
LENS FOLDABLE 30.0,3200416,,$865.00 ,
LENS FOLDABLE 32.0,3203336,,$715.00 ,
LENS FOLDABLE 7.0,3200582,,$715.00 ,
LENS FOLDABLE 7.5,3200583,,$780.00 ,
LENS FOLDABLE 8.0,3200584,,$787.00 ,
LENS FOLDABLE 8.5,3200585,,$865.00 ,
LENS FOLDABLE 9.0,3200586,,$793.00 ,
LENS FOLDABLE 9.5,3200587,,$871.00 ,
LENS I/O L122UV 10.0,3200507,,"$1,005.00 ",
LENS I/O L122UV 11.0,3200506,,"$1,005.00 ",
LENS I/O L122UV 12.0,3200508,,"$1,005.00 ",
LENS I/O L122UV 13.0,3200509,,"$1,005.00 ",
LENS I/O L122UV 14.0,3200494,,"$1,005.00 ",
LENS I/O L122UV 15.0,3200495,,"$1,005.00 ",
LENS I/O L122UV 16.0,3200496,,"$1,005.00 ",
LENS I/O L122UV 17.0,3200497,,"$1,005.00 ",
LENS I/O L122UV 18.0,3200498,,"$1,005.00 ",
LENS I/O L122UV 19.0,3200499,,"$1,005.00 ",
LENS I/O L122UV 20.0,3200500,,"$1,005.00 ",
LENS I/O L122UV 21.0,3200501,,"$1,005.00 ",
LENS I/O L122UV 22.0,3200502,,"$1,005.00 ",
LENS I/O L122UV 23.0,3200503,,"$1,005.00 ",
LENS I/O L122UV 24.0,3200504,,"$1,005.00 ",
LENS I/O L122UV 25.0,3200505,,"$1,005.00 ",
LENS I/O L122UV 9.0,3203332,,"$1,005.00 ",
LENS I/O S122UV 10.0,3200532,,"$1,005.00 ",
LENS I/O S122UV 11.0,3200531,,"$1,005.00 ",
LENS I/O S122UV 12.0,3200533,,"$1,005.00 ",
LENS I/O S122UV 13.0,3200534,,"$1,005.00 ",
LENS I/O S122UV 15.0,3200519,,"$1,005.00 ",
LENS I/O S122UV 16.0,3200520,,"$1,005.00 ",
LENS I/O S122UV 17.0,3200521,,"$1,005.00 ",
LENS I/O S122UV 18.0,3200522,,"$1,005.00 ",
LENS I/O S122UV 19.0,3200523,,"$1,005.00 ",
LENS I/O S122UV 20.0,3200524,,"$1,005.00 ",
LENS I/O S122UV 21.0,3200525,,"$1,005.00 ",
LENS I/O S122UV 22.0,3200526,,"$1,005.00 ",
LENS I/O S122UV 23.0,3200527,,"$1,005.00 ",
LENS I/O S122UV 24.0,3200528,,"$1,005.00 ",
LENS I/O S122UV 25.0,3200529,,"$1,005.00 ",
LENS I/O S122UV 26.0,3200530,,"$1,005.00 ",
LENS I/O S122UV 9.0,3203333,,"$1,005.00 ",
LENS I/O SI22UV 14.0,3200518,,"$1,005.00 ",
LENS IOL 10.0 ACRYLIC,3204083,,$943.00 ,
LENS IOL 10.5 ACRYLIC,3204084,,$943.00 ,
LENS IOL 11.0 ACRYLIC,3204085,,$943.00 ,
LENS IOL 11.5 ACRYLIC,3204086,,$943.00 ,
LENS IOL 12.0 ACRYLIC,3204087,,$943.00 ,
LENS IOL 12.5 ACRYLIC,3204088,,$943.00 ,
LENS IOL 13.0 ACRYLIC,3204089,,$943.00 ,
LENS IOL 13.5 ACRYLIC,3204090,,$943.00 ,
LENS IOL 14.0 ACRYLIC,3204091,,$943.00 ,
LENS IOL 14.5 ACRYLIC,3204092,,$943.00 ,
LENS IOL 15.0 ACRYLIC,3204093,,$943.00 ,
LENS IOL 15.5 ACRYLIC,3204094,,$943.00 ,
LENS IOL 16.0 ACRYLIC,3204095,,$943.00 ,
LENS IOL 16.5 ACRYLIC,3204096,,$943.00 ,
LENS IOL 17.0 ACRYLIC,3204097,,$943.00 ,
LENS IOL 17.5 ACRYLIC,3204098,,$943.00 ,
LENS IOL 18.0 ACRYLIC,3204099,,$943.00 ,
LENS IOL 18.5 ACRYLIC,3204100,,$943.00 ,
LENS IOL 19.0 ACRYLIC,3204101,,$943.00 ,
LENS IOL 19.5 ACRYLIC,3204102,,$943.00 ,
LENS IOL 20.0 ACRYLIC,3204103,,$943.00 ,
LENS IOL 20.5 ACRYLIC,3204104,,$943.00 ,
LENS IOL 21.0 ACRYLIC,3204105,,$943.00 ,
LENS IOL 21.5 ACRYLIC,3204106,,$943.00 ,
LENS IOL 22.0 ACRYLIC,3204107,,$943.00 ,
LENS IOL 22.5 ACRYLIC,3204108,,$943.00 ,
LENS IOL 23.0 ACRYLIC,3204109,,$943.00 ,
LENS IOL 23.5 ACRYLIC,3204110,,$943.00 ,
LENS IOL 24.0 ACRYLIC,3204111,,$943.00 ,
LENS IOL 24.5 ACRYLIC,3204112,,$943.00 ,
LENS IOL 25.0 ACRYLIC,3204113,,$943.00 ,
LENS IOL 25.5 ACRYLIC,3204114,,$943.00 ,
LENS IOL 26.0 ACRYLIC,3204115,,$943.00 ,
LENS IOL 26.5 ACRYLIC,3204116,,$943.00 ,
LENS IOL 27.0 ACRYLIC,3204117,,$943.00 ,
LENS IOL 27.5 ACRYLIC,3204118,,$943.00 ,
LENS IOL 28.0 ACRYLIC,3204119,,$943.00 ,
LENS IOL 28.5 ACRYLIC,3204120,,$943.00 ,
LENS IOL 29.0 ACRYLIC,3204121,,$943.00 ,
LENS IOL 29.5 ACRYLIC,3204122,,$943.00 ,
LENS IOL 30.0 ACRYLIC,3204123,,$943.00 ,
LENS MORGAN MEDI-FLOW,200717,,$106.00 ,
"Leptospira, IgM, Serum-Mayo",705751,86720,$135.00 ,
Lettuce,7051869,86003,$17.00 ,
Leukemia/Lymphoma Phenotype by Flow Cyto-Mayo,7055699,88184,$397.00 ,
Leukemia/Lymphoma Phenotyping each additional marker,7051688,88185,$74.00 ,
Leukemia/Lymphoma Phenotyping First Marker,7051687,88184,$350.00 ,
LEUKOCYTE WBC AUTOMATED,7052042,85048,$23.00 ,
Level 2 - Surgery,6600752,, $810 / Interval ,
Level 3 - Surgery,6600753,," $1,620 / Interval ",
Level 4 - Surgery,6600754,," $2,700 / Interval ",
LEVEL I ER CARE,99281,99281,$212.00 ,
LEVEL II ER CARE,99282,99282,$360.00 ,
LEVEL III ER CARE,99283,99283,$576.00 ,
LEVEL IV ER CARE,99284,99284,$942.00 ,
LEVEL IV PATHOLOGY,7590302,88305,$226.00 ,
LEVEL V ER CARE,99285,99285,"$1,266.00 ",
Levetiracetam Level-Mayo,7052313,80177,$265.00 ,
LIGAMENT PATELLA HEMI FROZEN,3200467,,"$6,525.00 ",
LINER PODUS BOOT W/STRAP STD,200184,,$225.00 ,
Lipase Body Fluid-Mayo,7052573,83690,$65.00 ,
Lipase Level,7050993,83690,$65.00 ,
"Lipase, Pleural Fluid",7051533,83690,$44.00 ,
Lipid Mgmt (15 min),7530143,99401,$12.00 ,
Lipid Mgmt (30 min),7530144,99402,$29.00 ,
Lipid Panel,7050416,80061,$90.00 ,
"Lipoprotein, Blood",7100625,83701,$117.00 ,
"Lipoprotein, Blood (Quest)",7051692,83704,$129.00 ,
Lithium Level,7050036,80178,$64.00 ,
"LIVER MICROSOMAL AB, IgG",7051792,86376,$189.00 ,
Liver/Kidney Microsome Type 1 Ab-Mayo,7052373,86376,$182.00 ,
LKM-1 AB Liver kidney Microsomal AB IgG Quest,7052132,86376,$189.00 ,
LOBSTER IgE,7056267,86003,$17.00 ,
"Lobster, IgE-Mayo",7055789,86003,$46.00 ,
Local,6670029,, $52 / Interval ,
Local - Monitored Anesthesia Care,6670030,, $296 / Interval ,
Local Monitored Anesthesia Care,6670030,, $269 / Interval ,
Local/Sedation,6670030,, $296 / Interval ,
LOCATOR NERVE,3200035,,$516.00 ,
LONG LEG SPLINT,29505,29505,$325.00 ,
LOOP CUTTING 24/26F BIPOLAR,3200671,,"$1,625.00 ",
LOOP CUTTING 24F MONOPOLAR YEL,3200670,,$744.00 ,
L-PLATE 1.7MM 6 HOLE LEFT,3202976,,$540.00 ,
L-PLATE 1.7MM 6 HOLE LEFT LOCK,3202978,,$596.00 ,
L-PLATE 1.7MM 6 HOLE RIGHT,3202977,,$540.00 ,
L-PLATE 1.7MM 6 HOLE RIGHT LOC,3202979,,$596.00 ,
L-PLATE 2.3MM 6H LEFT,3203662,,"$1,504.00 ",
L-PLATE 2.3MM 6H LEFT LOCK,3203678,,"$1,504.00 ",
L-PLATE 2.3MM 6H RIGHT,3202646,,"$1,504.00 ",
L-PLATE 2.3MM 6H RIGHT LOCKING,3203677,,"$1,504.00 ",
L-PLATE 4 HOLE 2.7MM,3202622,,$932.00 ,
L-PLATE 5 HOLE LEFT 2.7MM,3202623,,$932.00 ,
L-PLATE 5 HOLE RIGHT 2.7MM,3202624,,$932.00 ,
LUMBAR PUNCTURE,7590118,62270,,$592.00 
LUMBAR PUNCTURE DX,62270,62270,$815.00 ,
Lumbar puncture w/ fluoro,7200505,77003,$676.00 ,
Luteinizing Hormone-Mayo,7052199,83002,$115.00 ,
Lyme CNS Infection IgG w/AI Reflex-Mayo,7055723,86618,$115.00 ,
LYME DISEASE ANTIBODY 1,7055727,86618,$206.00 ,
LYME DISEASE ANTIBODY 2,7055728,86618,$206.00 ,
Lyme Disease Serology-Mayo,7052465,86618,$168.00 ,
Lyme Immunoblot IgG,7052706,86617,$69.00 ,
Lyme Immunoblot IgM,7052707,86617,$69.00 ,
"LYMPHOCYTE PROLIFERATION MITOGENS, BLOOD",7052098,86353,$800.00 ,
"Lymphocyte Proliferation, Mitogens, Blood-MAYO",7051361,86353,$975.00 ,
Lymphocytic Chorio Ab,7052841,86727,$25.00 ,
Lysis of Cells,7051661,,$65.00 ,
MA Breast Tissue Specimen Left,7200216,76098,$720.00 ,
MA Breast Tissue Specimen Right,7200216,76098,$720.00 ,
MAG 3,7201589,,"$1,565.00 ",
Maggot Therapy -> Yes,7460513,99070,$291.00 ,
MAGGOTS,7460513,99070,$314.00 ,
Magnesium,7050170,83735,$89.00 ,
Magnesium Level,7050170,83735,$71.00 ,
Magnesium Random Urine-Mayo,7052536,83735,$71.00 ,
"Mailing handling, Overnight[i]",7050562,,$101.00 ,
"Mailing handling, Prepaid[i]",7050903,,$26.00 ,
MAINTAIN PORTABLE PUMP,7590144,96522,$339.00 ,
Malaria/Babesia Smear-Mayo,7052924,87207,$158.00 ,
Malt,7051603,86003,$17.00 ,
Mammogram Diagnostic Bilateral,7201636,77066,$464.00 ,$139.00 
Mammogram Diagnostic Bilateral,7200978,77066,$464.00 ,
Mammogram Diagnostic Bilateral-Professional,7200978,77066,,$139.00 
Mammogram Diagnostic Left,7200979,77065,$383.00 ,$107.00 
Mammogram Diagnostic Left,7201635,77065,$383.00 ,$107.00 
Mammogram Diagnostic Left Professional,7201635,77065,,$107.00 
Mammogram Diagnostic Right,7201634,77065,$383.00 ,$107.00 
Mammogram Diagnostic Right,7200980,77065,$383.00 ,
Mammogram Diagnostic Right Professional,7200980,77065,,$107.00 
Mammogram Screening,7201633,77067,$258.00 ,$98.00 
Mammogram Screening,7200976,77067,$258.00 ,
Mammogram Screening Implant,7201422,77067,$321.00 ,
Mammogram Screening Implant Professional,7201422,77067,,$98.00 
Mammogram Screening Implants,7201637,77067,$321.00 ,$98.00 
Mammogram Screening Professional,7201637,77067,,$98.00 
MANAGER NOVOCUT SUTURE,3201075,,$813.00 ,
MANIFOLD 4 PORT NEPTUNE,3200894,,$147.00 ,
MANUAL THERAPY 15 MIN,42097140,97140,$102.00 ,
Manual Therapy 15 min WC,7460034,97140,$102.00 ,
Manual Therapy Charge Units,7460034,97140,$102.00 ,
Manual Therapy Charges WC,7460034,97140,$102.00 ,
Maple (Box Elder),7051588,86003,$17.00 ,
Maple Boxelder T1 IGE,7050475,86003,$17.00 ,
Marajuana Metabolites,7100712,80305,$10.00 ,
Marijuana Metabolites (Quest),,,$31.00 ,
MARIJUANA METABOLITES 7,7051980,80305,$91.00 ,
MARKER MARGIN STERILE INK,3200917,,$965.00 ,
MARKER PASSIVE 15X2,3204051,,"$2,250.00 ",
MARKER PASSIVE 5X12,3204052,,$665.00 ,
"Marker, Breast Biopsy 17gaX10cm",27201528,,$490.00 ,
Marshelder,7051882,86003,$17.00 ,
MASK FULL FACE LG,201889,,$225.00 ,
MASK FULL FACE MED,201888,,$225.00 ,
MASK FULL FACE SM,201887,,$225.00 ,
MASK OPTICHAMBER LARGE,201886,,$112.00 ,
MASK OPTICHAMBER MEDIUM,201885,,$108.00 ,
MASK OPTICHAMBER SMALL,201884,,$101.00 ,
Mass spectometry Quant,83789,83789,$134.00 ,
MASSAGE 15 MIN,7460777,97124,$72.00 ,
MASSAGE 15 MIN PT,7450016,97124,$72.00 ,
Massage Charge Units,7460777,97124,$72.00 ,
MASTOTOMY W/EXPLORE OR ABCESS DRAINAGE,19020,19020,"$1,989.00 ",
MATRIX GRAFTON DBM 2.5CMX5CM,3200768,,"$4,720.00 ",
MCP Dislocation,26700,26700,$794.00 ,
MD Amplification,7100916,,$81.00 ,
MDMA Conf,7052550,80359,$129.00 ,
Measles (Rubeola) IgG Antibody-Mayo,7052397,86765,$164.00 ,
Measles IgG/M Ab,7052839,86765,$51.00 ,
Measles/Rubeola IgG (State),7050583,86765,$164.00 ,
MEASURE & FIT,42097760,97760,$97.00 ,
Mechanical Traction Time,7450017,97012,$86.00 ,
Mechanical Traction Total Treatment Time,7450017,97012,$86.00 ,
MECP2 Gene Dup/Delet Variant,7052799,81304,"$1,238.00 ",
MECP2 Gene Full Sequence,7052798,81302,"$1,238.00 ",
MEDICAL EYE EXAM,92002,92002,$168.00 ,
MEDICAL NUTRITIONAL THERAPY 15MIN,8200004,97802,$61.00 ,
MEDICAL NUTRITIONAL THERAPY/REASSESS 15MIN,6100168,97803,$55.00 ,
MEDIHONEY 1.5 OZ. TUBE,200181,,$103.00 ,
MELAS Profile,7050970,,$647.00 ,
"Mercury, 24 Hr Urine",7051353,83825,$148.00 ,
"Mercury, Blood-Mayo",7052314,83825,$91.00 ,
"MERCURY, URINE",7052064,83825,$148.00 ,
MESH HERNIA 10CMX15CM OVAL,3200721,,"$1,625.00 ",
MESH HERNIA 11CMX14CM,3200724,,"$1,636.00 ",
MESH HERNIA 12.5CMX12.5CM SQUA,3200720,,"$1,745.00 ",
MESH HERNIA 15CMX20CM OVAL,3200722,,"$2,250.00 ",
MESH HERNIA 20.5CMX30.5CM,3200725,,"$3,190.00 ",
MESH HERNIA 9CMX9CM SQUARE,3200719,,"$1,625.00 ",
MESH PROLENE 3X6,3200572,,$708.00 ,
MESH VITA 3X6,3200579,,$374.00 ,
MESH V-PATCH LARGE 3.2X3.2,3200848,,"$2,250.00 ",
MESH V-PATCH MEDIUM 2.5X2.5,3200847,,"$1,885.00 ",
MESH WOVEN VICRYL 12X12,3200952,,"$3,156.00 ",
Metallic Localization Placement,7200826,,$513.00 ,$445.00 
"Metanephrines, Fractionated 24 Hour Urine-Mayo",7052587,83835,$178.00 ,
"Metanephrines, Fractionated Free-Mayo",7052520,83835,$223.00 ,
Meter Dose Inhaler (Subsequent Treatment),7500253,94640,$278.00 ,
METER PEAK FLOW TRUZONE,203303,,$78.00 ,
METER URINE WITH BAG,3201377,,$71.00 ,
METER URINE WITH BAG,201377,,$71.00 ,
Methadone,7100707,80305,$10.00 ,
Methadone (Quest),,,$31.00 ,
Methadone Conf U-Mayo MTDNU,7052812,80358,$163.00 ,
Methamphetamine-Ecstasy,7100706,80305,$10.00 ,
Methaqualone,7100713,80305,$32.00 ,
Methemoglobin,7050682,83050,$87.00 ,
"Methemoglogin, Quantitative",7050682,83050,$67.00 ,
"Methicillin Resistant Staph aureus DNA, Nares, PCR",7052679,87641,$158.00 ,
Methylenediosymeth,7100709,80305,$10.00 ,
Methylmalonic Acid Quant-Mayo,7052315,83921,$213.00 ,
MG Breast Biopsy Add. Lesion Stereo,7201431,19082,"$1,526.00 ","$1,079.00 "
MG Breast Biopsy Added Lesion,7201583,19082,"$1,526.00 ",
MG Breast Biopsy Added Lesion - Report,7201583,19082,,$231.00 
MG Breast Ndl Loc Placement Bilat,7200714,19281,"$1,443.00 ",
MG Breast Ndl Loc Placement Bilat - Report,7200714,19281,,"$2,063.00 "
MG Breast Ndl Loc Placement Left,7200716,19281,"$1,084.00 ",
MG Breast Ndl Loc Placement Left - Report,7200714,19281,,$982.00 
MG Breast Ndl Loc Placement Right,7200715,19281,"$1,084.00 ",
MG Breast Ndl Loc Placement Right - Report,7200714,19281,,$982.00 
MG Ductogram/Galactogram Multi Bilat,7200887,77054,"$1,224.00 ",
MG Ductogram/Galactogram Multi Bilat - Report,7200887,77054,,$146.00 
MG Ductogram/Galactogram Multi Left,7200885,77054,$611.00 ,
MG Ductogram/Galactogram Multi Left - Report,7200887,77054,,$72.00 
MG Ductogram/Galactogram Multi Right,7200886,77054,$611.00 ,
MG Ductogram/Galactogram Multi Right - Report,7200887,77054,,$72.00 
MG Ductogram/Galactogram Single Bilat,7200741,77053,"$1,224.00 ",
MG Ductogram/Galactogram Single Bilat - Report,7200741,77053,,$137.00 
MG Ductogram/Galactogram Single Left,7200743,77053,$613.00 ,
MG Ductogram/Galactogram Single Left - Report,7200741,77053,,$68.00 
MG Ductogram/Galactogram Single Right,7200742,77053,$613.00 ,
MG Ductogram/Galactogram Single Right - Report,7200741,77053,,$68.00 
MG Mammogram Diagnostic Bilateral,7200978,77066,$464.00 ,
MG Mammogram Diagnostic Bilateral - Report,7200214,77066,,$139.00 
MG Mammogram Diagnostic Left,7200979,77065,$383.00 ,
MG Mammogram Diagnostic Left - Report,7200713,77065,,$107.00 
MG Mammogram Diagnostic Right,7200980,77065,$383.00 ,
MG Mammogram Diagnostic Right - Report,7200713,77065,,$107.00 
MG Mammogram Routine Screening,7200976,77067,$258.00 ,
MG Mammogram Routine Screening - Report,7200004,77067,,$98.00 
MG Mammogram Screening Implants,7201422,77067,$321.00 ,
MG Mammogram Screening Implants - Report,7201422,77067,,$98.00 
MG Mammogram/Post Biopsy,7201122,77065,$383.00 ,
MG Mammogram/Post Biopsy - Report,7201122,77065,,$107.00 
MG Stereotactic Breast Biopsy Bilateral,7295983,19081,"$4,260.00 ",
MG Stereotactic Breast Biopsy Bilateral - Report,7200749,19081,,"$3,260.00 "
MG Stereotactic Breast Biopsy Left,7295984,19081,"$3,494.00 ",
MG Stereotactic Breast Biopsy Left - Report,7200749,19081,,"$1,630.00 "
MG Stereotactic Breast Biopsy Right,7295985,19081,"$3,494.00 ",
MG Stereotactic Breast Biopsy Right - Report,7200749,19081,,"$1,630.00 "
MG Stereotactic Wire Loc Added Lesion,7200749,19284,"$2,242.00 ",
MG Stereotactic Wire Localization Bilateral - Report,7200749,19283,,"$2,096.00 "
MG Stereotactic Wire Localization Left - Report,7200749,19283,,"$1,048.00 "
MG Stereotactic Wire Localization Right - Report,7200749,19283,,"$1,048.00 "
MG Tomosynthesis Diagnostic Bilat,7201617,77062,$100.00 ,
MG Tomosynthesis Diagnostic Bilat - Report,7201617,77062,,$16.00 
MG Tomosynthesis Diagnostic Left,7201616,77061,$100.00 ,
MG Tomosynthesis Diagnostic Left - Report,7201616,77061,,$16.00 
MG Tomosynthesis Diagnostic Right,7201615,77061,$100.00 ,
MG Tomosynthesis Diagnostic Right - Report,7201615,77061,,$16.00 
MG Tomosynthesis Implant Diagnostic,7201666,77066,$492.00 ,
MG Tomosynthesis Implant Diagnostic - Report,7201666,77066,,$189.00 
MG Tomosynthesis Implant Left,7201667,77065,$415.00 ,
MG Tomosynthesis Implant Left - Report,7201667,77065,,$157.00 
MG Tomosynthesis Implant Right,7201668,77065,$415.00 ,
MG Tomosynthesis Implant Right - Report,7201668,77065,,$157.00 
MG Tomosynthesis Implants,72016296,77063,$150.00 ,
MG Tomosynthesis Implants - Report,7201629,77063,,$26.00 
MG Tomosynthesis Screening,7201422,77063,$114.00 ,
MG Tomosynthesis Screening - Report,7201614,77063,,$16.00 
MI 2 Auto ABS,7050871,86235,$158.00 ,
Microalbumin Level 24 Hour Urine,7050885,82043,$75.00 ,
Microalbumin Level Urine,7050654,82043,$74.00 ,
Micropolysporia,7101002,86609,$56.00 ,
Microspor PCR-Mayo LCMSP,7052920,87798,$431.00 ,
Milk,7051589,86003,$17.00 ,
Milk F2 IGE,7050475,86003,$17.00 ,
Minimum Inhibitory Concentration,7050647,87186,$79.00 ,
MIST LOW FREQUENCY NON-THERMAL US,7460240,97610,$306.00 ,
MIST LOW FREQUENCY NON-THERMAL US PROFEE,7460139,97610,,$34.00 
MITOCHONDRIAL AB W/RFX,7051794,86255,$100.00 ,
"Mitochondrial Antibody, M2-Mayo",7052521,83516,$135.00 ,
MIXED FEATHERS IgG,7051914,86001,$56.00 ,
MIXER CEMENT RADIOPaque,4201467,,"$1,411.00 ",
Modality -> Contrast baths,7455294,97034,$64.00 ,
"Modality -> Electrical stimulation, attended",7450019,97032,$80.00 ,
"Modality -> Electrical stimulation, unattended",7450036,97014,$47.00 ,
Modality -> Iontophoresis,7450176,97033,$104.00 ,
Modality -> Paraffin,7455293,97018,$66.00 ,
Modality -> Ultrasound,7450007,97035,$73.00 ,
Moderate Sedation,99144,99152,$150.00 ,
MODERATE SEDATION <5YRS OLD,99143,99151,$295.00 ,
MODERATE SEDATION PROVIDED BY PHYSICIAN OTHER THAN THE ONE PROVIDING THE SERVICE,99156,99156,$230.00 ,
MODERATE SEDATION PROVIDED BY PHYSICIAN OTHER THAN THE ONE PROVIDING THE SERVICE  LESS THAN 5 YEARS,99155,99155,$252.00 ,
Molecular Amplification,7100632,,$326.00 ,
Molecular Chromosomes,7100829,88274,$212.00 ,
Molecular Cytogenetics,7100828,88271,$197.00 ,
"Molecular Cytogenetics DNA Probe, each",7100528,88271,$569.00 ,
Molecular Diag Amplification Multiplex,7100235,,$148.00 ,
Molecular Diag Amplification Separation,7100901,,$73.00 ,
Molecular Diag Amplification Target,7050970,,$328.00 ,
Molecular Diag Enzymatic Digestion,7101042,,$18.00 ,
Molecular Diag Isolation Extraction,7050661,,$81.00 ,
Molecular Diag Nuclic Acid DR/DQ,7100804,,$81.00 ,
"Molecular Diagnostic, Isolaton or Extraction of Nucleic Acid",7100886,,$18.00 ,
Molecular Isolation,7050661,,$23.00 ,
Molecular Reverse Transcription,7100633,,$262.00 ,
Molecule Isolate Nucleic,7050661,,$23.00 ,
Molecule Nucleic Ampli Each,7050970,,$63.00 ,
MONITORING OF INTERSTITIAL FLUID PRESSURE,20950,20950,"$1,397.00 ",
Mononucleosis Screen,7050128,86308,$70.00 ,
Mononucleosis Screen w/RFX to EBV Ab Profile,7050128,86308,$70.00 ,
MONOPTY 186X16CM,7601839,,$197.00 ,
"Monopty, 18G X 10CM",7601749,,$100.00 ,
MOPATH PROCEDURE LVL 4,7055777,81403,$605.00 ,
MOR Intraoperative,6608914,, $73 / Interval ,
MOR PACU I,6600500,, $15 / Interval ,
MOR PACU II,6600504,, $7 / Interval ,
MOR Preoperative,6600502,, $295 / Interval ,
MORPHOMETIC ANALYSIS,7051538,88368,$282.00 ,
"MORPHOMETRIC ANALYSIS, EACH",7590306,88367,$415.00 ,
MOTION FLUOROSCOPIC EVAL SWALLOW,44092611,92611,$349.00 ,
Mountain Cedar Juniper T6 IGE,7050475,86003,$17.00 ,
MR Abdomen w/ and w/o Contrast,7250282,74183,"$3,157.00 ",
MR Abdomen w/ and w/o Contrast - Report,7250282,74183,,$573.00 
MR Abdomen w/ Contrast,7250281,74182,"$2,843.00 ",
MR Abdomen w/ Contrast - Report,7250281,74182,,$447.00 
MR Abdomen w/o Contrast,7250280,74181,"$2,585.00 ",
MR Abdomen w/o Contrast - Report,7250280,74181,,$439.00 
MR Angio Abdomen w/ Contrast,7250252,74185,"$3,752.00 ",
MR Angio Abdomen w/ Contrast - Report,7250285,74185,,$462.00 
MR Angio Abdomen w/ or w/o Contrast,7201240,74185,"$3,410.00 ",
MR Angio Abdomen w/ or w/o Contrast - Report,7201240,74185,,$462.00 
MR Angio Abdomen w/o Contrast,7250285,74185,"$3,410.00 ",
MR Angio Abdomen w/o Contrast - Report,7250285,74185,,$462.00 
MR Angio Chest w/ Contrast - Report,7250263,71555,,$596.00 
MR Angio Chest w/o Contrast,7250263,71555,"$4,127.00 ",
MR Angio Head w/ and w/o Contrast,7250259,70546,"$4,413.00 ",
MR Angio Head w/ and w/o Contrast - Report,7250259,70546,,$418.00 
MR Angio Head w/ Contrast,7250258,70545,"$3,781.00 ",
MR Angio Head w/o Contrast,7250257,70544,"$3,242.00 ",
MR Angio Head w/o Contrast - Report,7250257,70544,,$355.00 
MR Angio Lower Extremity Bilat,7250330,73725,"$2,659.00 ",
