BIG HORN HOSPITAL ASSOCIATION,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,hospital
5002668,BETADINE SWAB STICKS,,2017-06-20 00:00:00,,Central Supply,,0,0,0,0,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5002656,SPEC/NONSTER/CUP,,2017-06-20 00:00:00,,Central Supply,,0,0,0,0,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5002655,"KLING 4"" UNSTERILE",,2017-06-20 00:00:00,,Central Supply,,0,0,0,0,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5002654,"KLING 3"" UNSTERILE",,2017-06-20 00:00:00,,Central Supply,,0,0,0,0,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5002653,"KLING 2"" UNSTERILE",,2017-06-20 00:00:00,,Central Supply,,0,0,0,0,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5002652,SPONGE 2X2 UNSTERILE,,2017-06-20 00:00:00,,Central Supply,,0,0,0,0,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5002651,GAUZE/TUBE #3/FT,,2017-06-20 00:00:00,,Central Supply,,0,0,0,0,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5002650,GAUZE/TUBE #2/FT,,2017-06-20 00:00:00,,Central Supply,,0,0,0,0,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5002648,SUCTION CANNISTER,,2017-06-20 00:00:00,,Central Supply,,0,0,0,0,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5002647,KY PACK,,2017-06-20 00:00:00,,Central Supply,,0,0,0,0,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5002646,"TAPE DURAPORE 2""",,2017-06-20 00:00:00,,Central Supply,,0,0,0,0,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5002644,ADULT EAR SPOON,,2017-06-20 00:00:00,,Central Supply,,0,0,0,0,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5002643,ADULT EAR RING,,2017-06-20 00:00:00,,Central Supply,,0,0,0,0,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5002642,"ACE WRAP 4""/STERILE",,2017-06-20 00:00:00,,Central Supply,,0,0,0,0,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5002641,ACCUCHECK TESTER SOLUTION,,2017-06-20 00:00:00,,Central Supply,,0,0,0,0,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5002640,STAT LOCK PICC PLUS,,2017-06-20 00:00:00,,Central Supply,,0,0,0,0,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5002637,MASK SURGICAL TIE ON,,2017-06-20 00:00:00,,Central Supply,,0,0,0,0,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5002628,MASK PARTICULATE RESPIRATOR,,2017-06-20 00:00:00,,Central Supply,,0,0,0,0,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5002627,I&O LABEL 1 1/4X3/8,,2017-06-20 00:00:00,,Central Supply,,0,0,0,0,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5002625,GOWN SURGICAL X-LARGE,,2017-07-07 00:00:00,,Central Supply,,0,0,0,0,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5002624,GOWN SURGICAL LARGE,,2017-07-07 00:00:00,,Central Supply,,0,0,0,0,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5002623,GLOVES SURGERY 8 1/2,,2017-06-20 00:00:00,,Central Supply,,0,0,0,0,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5002622,GLOVES SURGERY 7,,2017-06-20 00:00:00,,Central Supply,,0,0,0,0,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5002621,GLOVES SURGERY 6 1/2,,2017-06-20 00:00:00,,Central Supply,,0,0,0,0,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5002620,GLOVES SURGERY 8,,2017-06-20 00:00:00,,Central Supply,,0,0,0,0,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5002619,GLOVES SURGERY 7 1/2,,2017-06-20 00:00:00,,Central Supply,,0,0,0,0,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5002612,GLOVES NITRILE LARGE,,2017-07-07 00:00:00,,Central Supply,,0,0,0,0,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5002604,KNEE SPLINT LG 24,,2017-06-20 00:00:00,,Central Supply,,0,0,0,0,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5002603,KNEE SPLINT LG 22,,2017-06-20 00:00:00,,Central Supply,,0,0,0,0,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5002598,HUMID-VENT 25 FLEX DC,,2017-06-20 00:00:00,,Central Supply,,0,0,0,0,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5002596,HEAT REFLECTING PATCH,,2017-06-20 00:00:00,,Central Supply,,0,0,0,0,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5002595,FRACTURE PANS,,2017-06-20 00:00:00,,Central Supply,,0,0,0,0,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5002594,FOUR PRONG W/O/ FOAM SM,,2017-06-20 00:00:00,,Central Supply,,0,0,0,0,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5002593,FOUR PRONG W/O/ FOAM MED,,2017-06-20 00:00:00,,Central Supply,,0,0,0,0,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5002592,FOUR PRONG W/O/ FOAM LG,,2017-06-20 00:00:00,,Central Supply,,0,0,0,0,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5002591,FOUR PRONG W/FOAM SM,,2017-06-20 00:00:00,,Central Supply,,0,0,0,0,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5002590,FOUR PRONG W/FOAM MED,,2017-06-20 00:00:00,,Central Supply,,0,0,0,0,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5002589,"PACK PLAIN 2""",,2017-06-20 00:00:00,,Central Supply,,0,0,0,0,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5002588,FOUR PRONG W/FOAM LG,,2017-06-20 00:00:00,,Central Supply,,0,0,0,0,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGES,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,0,% OF CHARGE,Big_Horn_County_Memorial_Hospital
