Location,Dept Number,Charge Code,Description,Revenue Code,CPT Code,Price,Discounted Cash Price,Minimum Contracted price,Maximum Contracted Price,BCBS Traditional Network,BCBS Point of Service Network,BCBS Closed Plan Network,BCBS HealthLink ,BCBS Medicare Advantage,Allegiance,InterWest,Pacific Source,Mountain Health Co-Op PPO,Mountain Health Co-Op HPN,United Medicare,hospital
BTMC,6400,82239,"BILE ACIDS, TOTAL",301,82239,85.5,51.3,40.44,85.5,85.5,40.44,40.44,76.95,67.97,81.23,81.23,82.08,82.94,74.39,64.13,Benefis_Teton_Medical_Center
BTMC,6400,82247,FLUID BILIRUBIN,301,82247,39.0,23.4,11.87,39.0,39.0,11.87,11.87,35.1,31.01,37.05,37.05,37.44,37.83,33.93,29.25,Benefis_Teton_Medical_Center
BTMC,6400,82250,TBI (BILIRUBIN TOTAL),301,82247,38.0,22.8,11.87,38.0,38.0,11.87,11.87,34.2,30.21,36.1,36.1,36.48,36.86,33.06,28.5,Benefis_Teton_Medical_Center
BTMC,6400,82271,BLOOD OCCULT OTHER SOURCES,301,82271,5.0,3.0,3.98,5.0,5.0,4.75,4.75,4.5,3.98,4.75,4.75,4.8,4.85,4.35,3.75,Benefis_Teton_Medical_Center
BTMC,6400,82274,OCCULT Hgb IMMUO ASSAY,301,82274,120.0,72.0,37.61,120.0,120.0,37.61,37.61,108.0,95.4,114.0,114.0,115.2,116.4,104.4,90.0,Benefis_Teton_Medical_Center
BTMC,6400,82300,URINE 24hr.CADIUM,309,82300,133.0,79.8,55.84,133.0,133.0,55.84,55.84,119.7,105.74,126.35,126.35,127.68,129.01,115.71,99.75,Benefis_Teton_Medical_Center
BTMC,6400,823000,"CADMIUM, BLOOD",309,82300,78.0,46.8,55.84,78.0,78.0,55.84,55.84,70.2,62.01,74.1,74.1,74.88,75.66,67.86,58.5,Benefis_Teton_Medical_Center
BTMC,6400,823001,CADMIUM,309,82300,161.0,96.6,55.84,161.0,161.0,55.84,55.84,144.9,128.0,152.95,152.95,154.56,156.17,140.07,120.75,Benefis_Teton_Medical_Center
BTMC,6400,82306,VITAMIN D 25-HYDROXY,301,82306,203.5,122.1,69.93,203.5,203.5,69.93,69.93,183.15,161.78,193.33,193.33,195.36,197.4,177.05,152.63,Benefis_Teton_Medical_Center
BTMC,6400,823060,VITAMIN D (25 HYDROXY) LEVEL,301,82306,198.0,118.8,69.93,198.0,198.0,69.93,69.93,178.2,157.41,188.1,188.1,190.08,192.06,172.26,148.5,Benefis_Teton_Medical_Center
BTMC,6400,823061,WELLNESS SCREEN VIT D,300,82306,52.0,31.2,41.34,69.93,52.0,69.93,69.93,46.8,41.34,49.4,49.4,49.92,50.44,45.24,39.0,Benefis_Teton_Medical_Center
BTMC,6400,82308,CALCITONIN,309,82308,178.5,107.1,63.3,178.5,178.5,63.3,63.3,160.65,141.91,169.58,169.58,171.36,173.15,155.3,133.88,Benefis_Teton_Medical_Center
BTMC,6400,82330,CALCIUMIONIZED,301,82330,167.5,100.5,32.32,167.5,167.5,32.32,32.32,150.75,133.16,159.13,159.13,160.8,162.48,145.73,125.63,Benefis_Teton_Medical_Center
BTMC,6400,82340,URINE CA+,301,82340,44.0,26.4,14.25,44.0,44.0,14.25,14.25,39.6,34.98,41.8,41.8,42.24,42.68,38.28,33.0,Benefis_Teton_Medical_Center
BTMC,6400,823400,STONE RISK UA,301,84105,817.5,490.5,13.65,817.5,817.5,13.65,13.65,735.75,649.91,776.63,776.63,784.8,792.98,711.23,613.13,Benefis_Teton_Medical_Center
BTMC,6400,823401,24HR URINE CALCIUM,301,82340,50.0,30.0,14.25,50.0,50.0,14.25,14.25,45.0,39.75,47.5,47.5,48.0,48.5,43.5,37.5,Benefis_Teton_Medical_Center
BTMC,6400,823402,URINE ALCIUM RANDOM,301,82340,50.0,30.0,14.25,50.0,50.0,14.25,14.25,45.0,39.75,47.5,47.5,48.0,48.5,43.5,37.5,Benefis_Teton_Medical_Center
BTMC,6400,82360,STONE ANALYSIS,309,82365,111.5,66.9,30.49,111.5,111.5,30.49,30.49,100.35,88.64,105.93,105.93,107.04,108.16,97.01,83.63,Benefis_Teton_Medical_Center
BTMC,6400,82365,STONE ANALYSIS,309,82365,56.0,33.6,30.49,56.0,56.0,30.49,30.49,50.4,44.52,53.2,53.2,53.76,54.32,97.01,42.0,Benefis_Teton_Medical_Center
BTMC,6400,82373,CDG TO MAYO,301,82373,483.5,290.1,42.67,483.5,483.5,42.67,42.67,435.15,384.38,459.33,459.33,464.16,469.0,420.65,362.63,Benefis_Teton_Medical_Center
BTMC,6400,82375,CARBOXYHEMOGLOBIN,301,82375,123.0,73.8,29.1,123.0,123.0,29.1,29.1,110.7,97.79,116.85,116.85,118.08,119.31,107.01,92.25,Benefis_Teton_Medical_Center
BTMC,6400,82379,TOTAL/FREE CARNITINE,309,82379,340.5,204.3,39.85,340.5,340.5,39.85,39.85,306.45,270.7,323.48,323.48,326.88,330.29,296.24,255.38,Benefis_Teton_Medical_Center
BTMC,6400,823790,"CARNITINE, FREE AND TOTAL",309,82379,76.0,45.6,39.85,76.0,76.0,39.85,39.85,68.4,60.42,72.2,72.2,72.96,73.72,66.12,57.0,Benefis_Teton_Medical_Center
BTMC,6400,82380,BETA-CAROTENE,309,82380,64.0,38.4,21.79,64.0,64.0,21.79,21.79,57.6,50.88,60.8,60.8,61.44,62.08,55.68,48.0,Benefis_Teton_Medical_Center
BTMC,6400,82384,U24-CAT(CATECHOLAMINES),309,82384,303.5,182.1,59.66,303.5,303.5,59.66,59.66,273.15,241.28,288.33,288.33,291.36,294.4,264.05,227.63,Benefis_Teton_Medical_Center
BTMC,6400,823840,"CATECHOLAMINES, 24HR URINE",309,82384,79.0,47.4,59.66,79.0,79.0,59.66,59.66,71.1,62.81,75.05,75.05,75.84,76.63,68.73,59.25,Benefis_Teton_Medical_Center
BTMC,6400,823841,PLASCATECHOLAMINES,309,82384,79.0,47.4,59.66,79.0,79.0,59.66,59.66,71.1,62.81,75.05,75.05,75.84,76.63,68.73,59.25,Benefis_Teton_Medical_Center
BTMC,6400,823842,Urandlate,309,82570,149.0,89.4,12.23,149.0,149.0,12.23,12.23,134.1,118.46,141.55,141.55,143.04,144.53,129.63,111.75,Benefis_Teton_Medical_Center
BTMC,6400,82385,CATECHOLAMINES 24 HR. urine,309,82384,170.0,102.0,59.66,170.0,170.0,59.66,59.66,153.0,135.15,161.5,161.5,163.2,164.9,147.9,127.5,Benefis_Teton_Medical_Center
BTMC,6400,82390,CERULOPLASIM,301,82390,119.0,71.4,25.38,119.0,119.0,25.38,25.38,107.1,94.61,113.05,113.05,114.24,115.43,103.53,89.25,Benefis_Teton_Medical_Center
BTMC,6400,823900,CERULOPLASIN,301,82390,122.0,73.2,25.38,122.0,122.0,25.38,25.38,109.8,96.99,115.9,115.9,117.12,118.34,106.14,91.5,Benefis_Teton_Medical_Center
BTMC,6400,82397,INHIBIN B,300,82397,187.0,112.2,33.36,187.0,187.0,33.36,33.36,168.3,148.67,177.65,177.65,179.52,181.39,162.69,140.25,Benefis_Teton_Medical_Center
BTMC,6400,823970,PTH RELATED PEPTIDE,300,82397,73.5,44.1,33.36,73.5,73.5,33.36,33.36,66.15,58.43,69.83,69.83,70.56,71.3,63.95,55.13,Benefis_Teton_Medical_Center
BTMC,6400,82435,FLUID CHLORIDE,301,82435,35.0,21.0,10.87,35.0,35.0,10.87,10.87,31.5,27.83,33.25,33.25,33.6,33.95,30.45,26.25,Benefis_Teton_Medical_Center
BTMC,6400,82436,24HR URINE CHLORIDE,301,82436,44.0,26.4,13.58,44.0,44.0,13.58,13.58,39.6,34.98,41.8,41.8,42.24,42.68,38.28,33.0,Benefis_Teton_Medical_Center
BTMC,6400,824360,URINE CHLORIDE RANDOM,301,82436,44.0,26.4,13.58,44.0,44.0,13.58,13.58,39.6,34.98,41.8,41.8,42.24,42.68,38.28,33.0,Benefis_Teton_Medical_Center
BTMC,6400,82465,FLUID CHOLESTEROL,301,82465,33.5,20.1,10.27,33.5,33.5,10.27,10.27,30.15,26.63,31.83,31.83,32.16,32.5,29.15,25.13,Benefis_Teton_Medical_Center
BTMC,6400,82480,CHOLINESTERASE with INHIBITOR,309,82480,190.5,114.3,18.59,190.5,190.5,18.59,18.59,171.45,151.45,180.98,180.98,182.88,184.79,165.74,142.88,Benefis_Teton_Medical_Center
BTMC,6400,824800,PSEUDOCHOLINESERASE,309,82480,73.5,44.1,18.59,73.5,73.5,18.59,18.59,66.15,58.43,69.83,69.83,70.56,71.3,63.95,55.13,Benefis_Teton_Medical_Center
BTMC,6400,82492,KEPPRA LEVEL,309,80177,160.0,96.0,31.31,160.0,160.0,31.31,31.31,144.0,127.2,152.0,152.0,153.6,155.2,139.2,120.0,Benefis_Teton_Medical_Center
BTMC,6400,82495,CHROMIUM,309,82495,63.0,37.8,47.92,63.0,63.0,47.92,47.92,56.7,50.09,59.85,59.85,60.48,61.11,54.81,47.25,Benefis_Teton_Medical_Center
BTMC,6400,824950,"CHROMIUM, SERUM",309,82495,67.0,40.2,47.92,67.0,67.0,47.92,47.92,60.3,53.27,63.65,63.65,64.32,64.99,58.29,50.25,Benefis_Teton_Medical_Center
BTMC,6400,82507,URINE CIT,301,82507,249.5,149.7,65.68,249.5,249.5,65.68,65.68,224.55,198.35,237.03,237.03,239.52,242.02,217.07,187.13,Benefis_Teton_Medical_Center
BTMC,6400,825071,24HR URINE CITRATE,301,82507,82.0,49.2,65.19,82.0,82.0,65.68,65.68,73.8,65.19,77.9,77.9,78.72,79.54,71.34,61.5,Benefis_Teton_Medical_Center
BTMC,6400,825200,ANTI-MULLERIAN HORMONE,301,83520,203.5,122.1,40.79,203.5,203.5,40.79,40.79,183.15,161.78,193.33,193.33,195.36,197.4,177.05,152.63,Benefis_Teton_Medical_Center
BTMC,6400,82523,NTX-URINE,309,82523,107.0,64.2,44.14,107.0,107.0,44.14,44.14,96.3,85.07,101.65,101.65,102.72,103.79,93.09,80.25,Benefis_Teton_Medical_Center
BTMC,6400,825230,C-TELOPEPTIDE,309,82523,82.0,49.2,44.14,82.0,82.0,44.14,44.14,73.8,65.19,77.9,77.9,78.72,79.54,71.34,61.5,Benefis_Teton_Medical_Center
BTMC,6400,825231,"N-TELOPEPTIDE CROSSLINK, URINE",309,82523,68.0,40.8,44.14,68.0,68.0,44.14,44.14,61.2,54.06,64.6,64.6,65.28,65.96,59.16,51.0,Benefis_Teton_Medical_Center
BTMC,6400,82525,SERUM COPPER,309,82525,124.5,74.7,29.31,124.5,124.5,29.31,29.31,112.05,98.98,118.28,118.28,119.52,120.77,108.32,93.38,Benefis_Teton_Medical_Center
BTMC,6400,825250,COPPER LEVEL,309,82525,55.0,33.0,29.31,55.0,55.0,29.31,29.31,49.5,43.73,52.25,52.25,52.8,53.35,47.85,41.25,Benefis_Teton_Medical_Center
BTMC,6400,825300,"CORTISOL, FREE URINE 24HR",301,82530,60.5,36.3,39.48,60.5,60.5,39.48,39.48,54.45,48.1,57.48,57.48,58.08,58.69,52.64,45.38,Benefis_Teton_Medical_Center
BTMC,6400,825302,CORTISOL/CORTISONE UR RANDOM,309,82530,60.5,36.3,39.48,60.5,60.5,39.48,39.48,54.45,48.1,57.48,57.48,58.08,58.69,52.64,45.38,Benefis_Teton_Medical_Center
BTMC,6400,825330,CORTISOL AM,301,82533,252.0,151.2,38.52,252.0,252.0,38.52,38.52,226.8,200.34,239.4,239.4,241.92,244.44,219.24,189.0,Benefis_Teton_Medical_Center
BTMC,6400,825331,CORTISOL PM,301,82533,252.0,151.2,38.52,252.0,252.0,38.52,38.52,226.8,200.34,239.4,239.4,241.92,244.44,219.24,189.0,Benefis_Teton_Medical_Center
BTMC,6400,825333,CORTISOL STIMULATION TEST,301,82533,678.0,406.8,38.52,678.0,678.0,38.52,38.52,610.2,539.01,644.1,644.1,650.88,657.66,589.86,508.5,Benefis_Teton_Medical_Center
BTMC,6400,82542,ABILIFY LEVEL(ARIPIPRAZOLE),301,80299,334.5,200.7,44.03,334.5,334.5,44.03,44.03,301.05,265.93,317.78,317.78,321.12,324.47,291.02,250.88,Benefis_Teton_Medical_Center
BTMC,6400,82543,GABITRIL LEVEL (TIAGABINE),300,80199,235.5,141.3,64.05,235.5,235.5,64.05,64.05,211.95,187.22,223.73,223.73,226.08,228.44,204.89,176.63,Benefis_Teton_Medical_Center
BTMC,6400,82546,RISPERDAL(RISPERIDONE),309,82542,232.5,139.5,56.91,232.5,232.5,56.91,56.91,209.25,184.84,220.88,220.88,223.2,225.53,202.28,174.38,Benefis_Teton_Medical_Center
BTMC,6400,82550,MMB,301,82553,147.0,88.2,27.28,147.0,147.0,27.28,27.28,132.3,116.87,139.65,139.65,141.12,142.59,127.89,110.25,Benefis_Teton_Medical_Center
BTMC,6400,82565,GENTAMICIN TROUGH,301,80170,119.0,71.4,38.69,119.0,119.0,38.69,38.69,107.1,94.61,113.05,113.05,114.24,115.43,103.53,89.25,Benefis_Teton_Medical_Center
BTMC,6400,825650,CREATININE W/GFR,301,82565,38.0,22.8,12.09,38.0,38.0,12.09,12.09,34.2,30.21,36.1,36.1,36.48,36.86,33.06,28.5,Benefis_Teton_Medical_Center
BTMC,6400,825651,CRE2(CREAT-SERUM),301,82565,58.0,34.8,12.09,58.0,58.0,12.09,12.09,52.2,46.11,55.1,55.1,55.68,56.26,50.46,43.5,Benefis_Teton_Medical_Center
BTMC,6400,825652,FLUID CREATININE,301,82565,38.0,22.8,12.09,38.0,38.0,12.09,12.09,34.2,30.21,36.1,36.1,36.48,36.86,33.06,28.5,Benefis_Teton_Medical_Center
BTMC,6400,82570,URINE  MICROALBUMIN/CREATININE,301,82043,60.5,36.3,13.65,60.5,60.5,13.65,13.65,54.45,48.1,57.48,57.48,58.08,58.69,52.64,45.38,Benefis_Teton_Medical_Center
BTMC,6400,825700,URANDMETA(urine random metanephrines),309,83835,171.0,102.6,40.02,171.0,171.0,40.02,40.02,153.9,135.95,162.45,162.45,164.16,165.87,148.77,128.25,Benefis_Teton_Medical_Center
BTMC,6400,825701,24HR URINE CREATININE,301,82570,44.0,26.4,12.23,44.0,44.0,12.23,12.23,39.6,34.98,41.8,41.8,42.24,42.68,38.28,33.0,Benefis_Teton_Medical_Center
BTMC,6400,825702,URINE CREATININE RANDOM,301,82570,44.0,26.4,12.23,44.0,44.0,12.23,12.23,39.6,34.98,41.8,41.8,42.24,42.68,38.28,33.0,Benefis_Teton_Medical_Center
BTMC,6400,82571,URINE CREATINE (QUANITITATIVE 24hr),301,82570,39.0,23.4,12.23,39.0,39.0,12.23,12.23,35.1,31.01,37.05,37.05,37.44,37.83,33.93,29.25,Benefis_Teton_Medical_Center
BTMC,6400,82575,24HR URINE CREAT CLEARANCE,301,82575,81.0,48.6,22.35,81.0,81.0,22.35,22.35,72.9,64.4,76.95,76.95,77.76,78.57,70.47,60.75,Benefis_Teton_Medical_Center
BTMC,6400,82595,CRYOGGLOBULIN,301,82595,134.0,80.4,15.28,134.0,134.0,15.28,15.28,120.6,106.53,127.3,127.3,128.64,129.98,116.58,100.5,Benefis_Teton_Medical_Center
BTMC,6400,82607,VITAMIN B12 LEVEL,301,82607,107.0,64.2,35.63,107.0,107.0,35.63,35.63,96.3,85.07,101.65,101.65,102.72,103.79,93.09,80.25,Benefis_Teton_Medical_Center
BTMC,6400,82610,CYSTATIN C,300,82610,75.0,45.0,43.75,75.0,75.0,43.75,43.75,67.5,59.63,71.25,71.25,72.0,72.75,65.25,56.25,Benefis_Teton_Medical_Center
BTMC,6400,82626,DHEA(dehydroepiandrosterone),309,82626,197.0,118.2,59.69,197.0,197.0,59.69,59.69,177.3,156.62,187.15,187.15,189.12,191.09,171.39,147.75,Benefis_Teton_Medical_Center
BTMC,6400,82627,DHEA SULFATE,309,82627,179.5,107.7,52.52,179.5,179.5,52.52,52.52,161.55,142.7,170.53,170.53,172.32,174.12,156.17,134.63,Benefis_Teton_Medical_Center
BTMC,6400,826270,DHEA-SO4,309,82627,76.0,45.6,52.52,76.0,76.0,52.52,52.52,68.4,60.42,72.2,72.2,72.96,73.72,66.12,57.0,Benefis_Teton_Medical_Center
BTMC,6400,82656,PANCREATIC ELASTASE STOOL,300,82656,410.0,246.0,27.25,410.0,410.0,27.25,27.25,369.0,325.95,389.5,389.5,393.6,397.7,356.7,307.5,Benefis_Teton_Medical_Center
BTMC,6400,82668,ERYTHROPOIETIN,301,82668,64.0,38.4,44.4,64.0,64.0,44.4,44.4,57.6,50.88,60.8,60.8,61.44,62.08,55.68,48.0,Benefis_Teton_Medical_Center
BTMC,6400,82670,ESTRADIOL,301,82670,243.5,146.1,66.01,243.5,243.5,66.01,66.01,219.15,193.58,231.33,231.33,233.76,236.2,211.85,182.63,Benefis_Teton_Medical_Center
BTMC,6400,826700,ESTRADIOL LEVEL,301,82670,237.0,142.2,66.01,237.0,237.0,66.01,66.01,213.3,188.42,225.15,225.15,227.52,229.89,206.19,177.75,Benefis_Teton_Medical_Center
BTMC,6400,82677,ESTRIOL,309,82677,146.0,87.6,57.12,146.0,146.0,57.12,57.12,131.4,116.07,138.7,138.7,140.16,141.62,127.02,109.5,Benefis_Teton_Medical_Center
BTMC,6400,82679,ESTRONE Lc/ms/ms,309,82679,319.5,191.7,58.94,319.5,319.5,58.94,58.94,287.55,254.0,303.53,303.53,306.72,309.92,277.97,239.63,Benefis_Teton_Medical_Center
BTMC,6400,826790,ESTRONE,309,82679,83.0,49.8,58.94,83.0,83.0,58.94,58.94,74.7,65.99,78.85,78.85,79.68,80.51,72.21,62.25,Benefis_Teton_Medical_Center
BTMC,6400,82693,ETHYLENE GLYCOL LEVEL,309,82693,122.0,73.2,35.21,122.0,122.0,35.21,35.21,109.8,96.99,115.9,115.9,117.12,118.34,106.14,91.5,Benefis_Teton_Medical_Center
BTMC,6400,82710,STOOL 48hr.QUANTITATIVE FECAL FAT,309,82710,170.0,102.0,39.69,170.0,170.0,39.69,39.69,153.0,135.15,161.5,161.5,163.2,164.9,147.9,127.5,Benefis_Teton_Medical_Center
BTMC,6400,827100,FECAL FAT QUANTITATIVE,309,82710,73.5,44.1,39.69,73.5,73.5,39.69,39.69,66.15,58.43,69.83,69.83,70.56,71.3,63.95,55.13,Benefis_Teton_Medical_Center
BTMC,6400,82725,"FREE FATTY ACIDS LEVEL, SERUM",309,82725,83.0,49.8,44.35,83.0,83.0,44.35,44.35,74.7,65.99,78.85,78.85,79.68,80.51,72.21,62.25,Benefis_Teton_Medical_Center
BTMC,6400,82728,FERRITIN,301,82728,102.0,61.2,32.2,102.0,102.0,32.2,32.2,91.8,81.09,96.9,96.9,97.92,98.94,87.44,76.5,Benefis_Teton_Medical_Center
BTMC,6400,82731,FETAL FIBRONECTIN,301,82731,470.5,282.3,152.16,470.5,470.5,152.16,152.16,423.45,374.05,446.98,446.98,451.68,456.39,409.34,352.88,Benefis_Teton_Medical_Center
BTMC,6400,82746,FOLIC ACID,301,82746,152.5,91.5,34.74,152.5,152.5,34.74,34.74,137.25,121.24,144.88,144.88,146.4,147.93,132.68,114.38,Benefis_Teton_Medical_Center
BTMC,6400,827460,FOLATE LEVEL,301,82746,105.0,63.0,34.74,105.0,105.0,34.74,34.74,94.5,83.48,99.75,99.75,100.8,101.85,91.35,78.75,Benefis_Teton_Medical_Center
BTMC,6400,82747,RBC FOLATE,309,82747,157.0,94.2,41.7,157.0,157.0,41.7,41.7,141.3,124.82,149.15,149.15,150.72,152.29,136.59,117.75,Benefis_Teton_Medical_Center
BTMC,6400,82775,Gal-1-P,300,82775,382.5,229.5,49.77,382.5,382.5,49.77,49.77,344.25,304.09,363.38,363.38,367.2,371.03,332.78,286.88,Benefis_Teton_Medical_Center
BTMC,6400,82784,IgG,301,82784,67.0,40.2,21.98,67.0,67.0,21.98,21.98,60.3,53.27,63.65,63.65,64.32,64.99,58.29,50.25,Benefis_Teton_Medical_Center
BTMC,6400,827840,IMMUNOGLOBULIN A,301,82784,72.5,43.5,21.98,72.5,72.5,21.98,21.98,65.25,57.64,68.88,68.88,69.6,70.33,63.08,54.38,Benefis_Teton_Medical_Center
BTMC,6400,827841,IMMUNOGLOBULIN PANEL,301,82784,137.5,82.5,21.98,137.5,137.5,21.98,21.98,123.75,109.31,130.63,130.63,132.0,133.38,119.63,103.13,Benefis_Teton_Medical_Center
BTMC,6400,827841,IMMUNOGLOBULIN PANEL,301,82784,137.5,82.5,21.98,137.5,137.5,21.98,21.98,123.75,109.31,130.63,130.63,132.0,133.38,119.63,103.13,Benefis_Teton_Medical_Center
BTMC,6400,827842,IgG SUBCLASS PANEL,301,82784,387.5,232.5,21.98,387.5,387.5,21.98,21.98,348.75,308.06,368.13,368.13,372.0,375.88,337.13,290.63,Benefis_Teton_Medical_Center
BTMC,6400,827843,IMMUNOGLOBULIN D,301,82784,83.0,49.8,21.98,83.0,83.0,21.98,21.98,74.7,65.99,78.85,78.85,79.68,80.51,72.21,62.25,Benefis_Teton_Medical_Center
BTMC,6400,827844,IMMUNOGLOBULIN G,301,82784,72.5,43.5,21.98,72.5,72.5,21.98,21.98,65.25,57.64,68.88,68.88,69.6,70.33,63.08,54.38,Benefis_Teton_Medical_Center
BTMC,6400,827845,IMMUNOGLOBULIN M,301,82784,72.5,43.5,21.98,72.5,72.5,21.98,21.98,65.25,57.64,68.88,68.88,69.6,70.33,63.08,54.38,Benefis_Teton_Medical_Center
BTMC,6400,827846,"IMMUNOGLOBULINS, PLASMA",301,82784,198.0,118.8,21.98,198.0,198.0,21.98,21.98,178.2,157.41,188.1,188.1,190.08,192.06,172.26,148.5,Benefis_Teton_Medical_Center
BTMC,6400,827847,CELIAC DISEASE SEROLOGY (CDSP.SO),301,82784,43.0,25.8,21.98,43.0,43.0,21.98,21.98,38.7,34.19,40.85,40.85,41.28,41.71,37.41,32.25,Benefis_Teton_Medical_Center
BTMC,6400,82785,IGE TOTAL,301,82785,119.0,71.4,38.89,119.0,119.0,38.89,38.89,107.1,94.61,113.05,113.05,114.24,115.43,103.53,89.25,Benefis_Teton_Medical_Center
BTMC,6400,827850,IMMUNOGLOBULIN E,301,82785,116.0,69.6,38.89,116.0,116.0,38.89,38.89,104.4,92.22,110.2,110.2,111.36,112.52,100.92,87.0,Benefis_Teton_Medical_Center
BTMC,6400,82803,BLOOD GAS STUDY,301,82803,258.5,155.1,61.58,258.5,258.5,61.58,61.58,232.65,205.51,245.58,245.58,248.16,250.75,224.9,193.88,Benefis_Teton_Medical_Center
BTMC,6400,82941,GASTEIN LEVEL single,309,82941,127.5,76.5,41.65,127.5,127.5,41.65,41.65,114.75,101.36,121.13,121.13,122.4,123.68,110.93,95.63,Benefis_Teton_Medical_Center
BTMC,6400,829410,GASTRIN LEVEL,309,82941,57.0,34.2,41.65,57.0,57.0,41.65,41.65,51.3,45.32,54.15,54.15,54.72,55.29,49.59,42.75,Benefis_Teton_Medical_Center
BTMC,6400,82945,FLUID GLUCOSE,301,82945,83.0,49.8,9.29,83.0,83.0,9.29,9.29,74.7,65.99,78.85,78.85,79.68,80.51,72.21,62.25,Benefis_Teton_Medical_Center
BTMC,6400,829450,CSF GLUCOSE,301,82945,46.5,27.9,9.29,46.5,46.5,9.29,9.29,41.85,36.97,44.18,44.18,44.64,45.11,40.46,34.88,Benefis_Teton_Medical_Center
BTMC,6400,829451,FLUID GLUCOSE,301,82945,46.5,27.9,9.29,46.5,46.5,9.29,9.29,41.85,36.97,44.18,44.18,44.64,45.11,72.21,34.88,Benefis_Teton_Medical_Center
BTMC,6400,82947,GLUCOSE,301,82947,39.0,23.4,9.29,39.0,39.0,9.29,9.29,35.1,31.01,37.05,37.05,37.44,37.83,33.93,29.25,Benefis_Teton_Medical_Center
BTMC,6400,82949,"GLUCOSE, POST DOSE",301,82950,165.5,99.3,11.22,165.5,165.5,11.22,11.22,148.95,131.57,157.23,157.23,158.88,160.54,143.99,124.13,Benefis_Teton_Medical_Center
BTMC,6400,82950,GTT-1,301,82947,110.0,66.0,9.29,110.0,110.0,9.29,9.29,99.0,87.45,104.5,104.5,105.6,106.7,95.7,82.5,Benefis_Teton_Medical_Center
BTMC,6400,82951,GLUCOSE TOLERANCE 3 hr.,301,82951,133.0,79.8,30.4,133.0,133.0,30.4,30.4,119.7,105.74,126.35,126.35,127.68,129.01,115.71,99.75,Benefis_Teton_Medical_Center
BTMC,6400,82952,GLUCOSE TOLERANCE EA. ADD. SPECIMEN,301,82952,29.0,17.4,9.26,29.0,29.0,9.26,9.26,26.1,23.06,27.55,27.55,27.84,28.13,25.23,21.75,Benefis_Teton_Medical_Center
BTMC,6400,82955,GLUCOSE-6-PHOSDEHYDROGENASE,309,82955,73.5,44.1,22.93,73.5,73.5,22.93,22.93,66.15,58.43,69.83,69.83,70.56,71.3,63.95,55.13,Benefis_Teton_Medical_Center
BTMC,6400,82960,G6PD,309,82955,57.0,34.2,22.93,57.0,57.0,22.93,22.93,51.3,45.32,54.15,54.15,54.72,55.29,49.59,42.75,Benefis_Teton_Medical_Center
BTMC,6400,82977,GAMMA GT(GGT),301,82977,53.0,31.8,17.01,53.0,53.0,17.01,17.01,47.7,42.14,50.35,50.35,50.88,51.41,46.11,39.75,Benefis_Teton_Medical_Center
BTMC,6400,82999,CLOZAPINE(CLOZARIL),309,80159,108.0,64.8,47.6,108.0,108.0,47.6,47.6,97.2,85.86,102.6,102.6,103.68,104.76,93.96,81.0,Benefis_Teton_Medical_Center
BTMC,6400,83001,FSH,301,83001,134.0,80.4,43.89,134.0,134.0,43.89,43.89,120.6,106.53,127.3,127.3,128.64,129.98,116.58,100.5,Benefis_Teton_Medical_Center
BTMC,6400,83002,LH,301,83002,133.0,79.8,43.75,133.0,133.0,43.75,43.75,119.7,105.74,126.35,126.35,127.68,129.01,118.32,99.75,Benefis_Teton_Medical_Center
BTMC,6400,830021,PEDIATRIC LH,301,83002,199.0,119.4,43.75,199.0,199.0,43.75,43.75,179.1,158.21,189.05,189.05,191.04,193.03,173.13,149.25,Benefis_Teton_Medical_Center
BTMC,6400,83003,GROWTH HORMONE,309,83003,99.5,59.7,39.38,99.5,99.5,39.38,39.38,89.55,79.1,94.53,94.53,95.52,96.52,86.57,74.63,Benefis_Teton_Medical_Center
BTMC,6400,830030,HUMAN GROWTH HORMONE,309,83003,54.0,32.4,39.38,54.0,54.0,39.38,39.38,48.6,42.93,51.3,51.3,51.84,52.38,46.98,40.5,Benefis_Teton_Medical_Center
BTMC,6400,830070,URINE NICOTINE/METABPLITES,309,80323,66.0,39.6,52.47,67.13,66.0,67.13,67.13,59.4,52.47,62.7,62.7,63.36,64.02,57.42,49.5,Benefis_Teton_Medical_Center
BTMC,6400,83010,HAPTOGLOBIN,301,83010,54.0,32.4,29.72,54.0,54.0,29.72,29.72,48.6,42.93,51.3,51.3,51.84,52.38,102.66,40.5,Benefis_Teton_Medical_Center
BTMC,6400,83013,H. PYLORI UREA BREATH TEST,301,83013,91.0,54.6,72.35,159.15,91.0,159.15,159.15,81.9,72.35,86.45,86.45,87.36,88.27,79.17,68.25,Benefis_Teton_Medical_Center
BTMC,6400,83017,HAIR ANALYSIS,309,83018,508.5,305.1,51.89,508.5,508.5,51.89,51.89,457.65,404.26,483.08,483.08,488.16,493.25,442.4,381.38,Benefis_Teton_Medical_Center
BTMC,6400,83018,URINE 24hr.COBALT,309,83018,133.0,79.8,51.89,133.0,133.0,51.89,51.89,119.7,105.74,126.35,126.35,127.68,129.01,115.71,99.75,Benefis_Teton_Medical_Center
BTMC,6400,830181,TIN-BLOOD,309,83018,220.5,132.3,51.89,220.5,220.5,51.89,51.89,198.45,175.3,209.48,209.48,211.68,213.89,191.84,165.38,Benefis_Teton_Medical_Center
