DESCRIPTION,CDM,PRICE,hospital
LEVOTHYROXINE SOD .1MG TABLET  L029,6516918,8.25,Beartooth_Billings_Clinic
LEVOTHYROXINE SOD .2MG TABLET  L033,6516959,15.05,Beartooth_Billings_Clinic
LIDOCAINE HCL 2% VISC 100ML SOLL045,6517064,59.7,Beartooth_Billings_Clinic
LIDOCAINE-EPI 1-0.001% 20ML VIAL,6517106,36.1,Beartooth_Billings_Clinic
LIDOCAINE HCL 1% 20 ML VIAL    L054,6517114,36.0,Beartooth_Billings_Clinic
LIDOCAINE 100MG/5ML SYRINGE,6517148,45.25,Beartooth_Billings_Clinic
LIOTHYRONINE 25 MCG TAB,6517254,19.3,Beartooth_Billings_Clinic
LOPERAMIDE HCL 2MG CAPSULE,6517395,10.8,Beartooth_Billings_Clinic
LORAZEPAM .5MG(ATIVAN) TABLET  L202,6517403,5.3,Beartooth_Billings_Clinic
LORAZEPAM 1MG TABLET,6517429,4.9,Beartooth_Billings_Clinic
MAGNESIUM CITRATE ORAL SOL 300ML,6517643,21.95,Beartooth_Billings_Clinic
MAGNESIUM GLUCONATE 500MG,6517645,4.15,Beartooth_Billings_Clinic
MAGNESIUM SULFATE 1G/2ML,6517676,17.85,Beartooth_Billings_Clinic
MAGNESIUM OXIDE 400MG TAB,6517684,4.5,Beartooth_Billings_Clinic
MECLIZINE HCL 25MG TABLET      M035,6517866,38.65,Beartooth_Billings_Clinic
MEPERIDINE HCL 1ML SYR 50MG/1MLM063,6518039,44.0,Beartooth_Billings_Clinic
MEPERIDINE 75MG/ML SYR,6518054,45.9,Beartooth_Billings_Clinic
MEPERIDINE 100MG/ML 1ML SYRINGE,6518062,178.4,Beartooth_Billings_Clinic
METHADONE 10MG TAB,6518443,5.8,Beartooth_Billings_Clinic
METHIMAZOLE 10MG TABLET,6518658,4.75,Beartooth_Billings_Clinic
METHOTREXATE 2.5MG TABLET,6518724,24.15,Beartooth_Billings_Clinic
METHYLDOPA 250MG TABLET        M160,6518856,5.3,Beartooth_Billings_Clinic
METHYLERGONOVINE MAL .2MG TAB  M168,6518914,113.6,Beartooth_Billings_Clinic
METHYLERGONOVINE 0.2MG/ML 1ML AMP,6518922,105.75,Beartooth_Billings_Clinic
METHYLPHENIDATE 5MG TAB,6518930,7.95,Beartooth_Billings_Clinic
METHYLPREDNISOLONE ACETATE 40MG INJ,6518997,49.45,Beartooth_Billings_Clinic
METHYLPREDNISOLONE ACE 1ML 80MG/ML*,6519003,80.25,Beartooth_Billings_Clinic
METHYLPREDNISOLONE 1000MG,6519029,158.65,Beartooth_Billings_Clinic
METHYLPREDNISOLONE SOD SUCC 125MG *,6519037,69.65,Beartooth_Billings_Clinic
METHYLPREDNISOLONE 4MG DOSEPAK M175,6519094,28.1,Beartooth_Billings_Clinic
METOCLOPRAMIDE HCL 10MG(REGLAN) TAB,6519185,5.96,Beartooth_Billings_Clinic
METOCLOPRAMIDE HCL 2ML VL 10MG/2ML,6519193,28.2,Beartooth_Billings_Clinic
METOLAZONE 5MG(ZAROXOLYN) TAB  M201,6519227,27.05,Beartooth_Billings_Clinic
METOPROLOL TARTRATE 50MG TAB   M092,6519250,11.3,Beartooth_Billings_Clinic
METRONIDAZOLE 250MG TAB        M333,6519284,12.7,Beartooth_Billings_Clinic
METRONIDAZOLE S C 100ML 500MG/100ML,6519300,46.7,Beartooth_Billings_Clinic
MAGNESIUM HYDROX CONC 24% 10ML ORAL,6519425,36.8,Beartooth_Billings_Clinic
MINERAL OIL 30ML OIL           M209,6519441,32.15,Beartooth_Billings_Clinic
MORPHINE 2MG/ML 1ML SYRINGE,6519615,27.9,Beartooth_Billings_Clinic
MORPHINE SULF 1ML SYR 4MG/1ML     *,6519623,27.9,Beartooth_Billings_Clinic
MORPHINE SULF 1ML SYR 10MG/1ML M288,6519649,31.15,Beartooth_Billings_Clinic
MULTIVITAMIN ADULT 10ML VIAL,6519706,51.0,Beartooth_Billings_Clinic
MULTIVITAMINS-THERAPEUTIC TAB  M233,6519714,5.95,Beartooth_Billings_Clinic
MULTIVIT-THER W/MINERALS TAB,6519755,4.1,Beartooth_Billings_Clinic
NAFCILLIN SODIUM 2GM VIAL      N369,6519854,184.2,Beartooth_Billings_Clinic
NALBUPHINE HCL 1ML AMPULE 10MG/1ML,6519896,36.9,Beartooth_Billings_Clinic
NALOXONE HCL 1ML AMP .4MG/1ML  N015,6519979,106.05,Beartooth_Billings_Clinic
NEOSTIGMINE METHYLSULFATE 10MG/ML I,6520175,124.5,Beartooth_Billings_Clinic
NIFEDIPINE 10MG CAP            N154,6520258,59.25,Beartooth_Billings_Clinic
NITROFURANTOIN 50MG CAP,6520282,15.9,Beartooth_Billings_Clinic
NITROGLYCERIN 10MG/DAY PATCH .4MG/H,6520365,37.25,Beartooth_Billings_Clinic
NITROGLYCERIN 5MG/DAY PATCH .2MG/H,6520381,33.0,Beartooth_Billings_Clinic
NITROGLYCERIN 0.4MG TAB SUBL   N051,6520407,41.4,Beartooth_Billings_Clinic
NITROGLYCERIN 2.5MG CAPSULE SA N053,6520423,8.1,Beartooth_Billings_Clinic
NITROPRUSSIDE SOD 50MG VIAL    N058,6520472,551.85,Beartooth_Billings_Clinic
NORTRIPTYLINE HCL 10MG CAPSULE N073,6520597,32.05,Beartooth_Billings_Clinic
NORTRIPTYLINE HCL 25MG CAPSULE N074,6520613,32.4,Beartooth_Billings_Clinic
"NYSTATIN SUSP 60ML 100,000U/ML N086",6520704,50.9,Beartooth_Billings_Clinic
OXYBUTYNIN 5 MG TAB,6521041,10.05,Beartooth_Billings_Clinic
OXYMETAZOLINE HCL .05% 30ML SPRAY,6521074,17.25,Beartooth_Billings_Clinic
OXYTOCIN 10 UNITS/ML 1ML VIAL,6521157,24.55,Beartooth_Billings_Clinic
PEN G BENZATHINE 1.2 MILLION UNITS,6521306,447.95,Beartooth_Billings_Clinic
PENICILLIN G POTASSIUM 5MMU VL P040,6521389,42.95,Beartooth_Billings_Clinic
PENICILLIN V POTASSIUM 250MG TABLET,6521470,7.25,Beartooth_Billings_Clinic
PHENAZOPYRIDINE HCL 100MG TAB  P088,6521777,21.85,Beartooth_Billings_Clinic
PHENOBARBITAL 30MG TABLET      P098,6521876,5.8,Beartooth_Billings_Clinic
PHENOBARBITAL 100MG TABLET     P100,6521942,7.55,Beartooth_Billings_Clinic
PHENYLEPHRINE HCL 1ML VL 10MG/1ML *,6522049,41.25,Beartooth_Billings_Clinic
PHENYTOIN SOD 2ML VL 100MG/2ML P128,6522171,42.75,Beartooth_Billings_Clinic
PHENYTOIN SOD EXT 100MG(DILANTIN) *,6522213,42.15,Beartooth_Billings_Clinic
NA PHOS/NA BIPHOS 90ML (FLEET PHOS),6522239,16.15,Beartooth_Billings_Clinic
PHYSOSTIGMINE SALICYLATE 2ML 2MG/2,6522247,197.05,Beartooth_Billings_Clinic
PHYTONADIONE 1ML AMP 10MG/1ML  P138,6522254,209.05,Beartooth_Billings_Clinic
PHYTONADIONE 5MG TABLET        P137,6522270,227.8,Beartooth_Billings_Clinic
BACITRACIN/POLY B SULF 15GM OINT,6522536,48.65,Beartooth_Billings_Clinic
BACTRACIN/POLY B 3.5GM OINT    P198,6522544,111.15,Beartooth_Billings_Clinic
POTASSIUM CHLORIDE 20MEQ PACKT P188,6522635,37.4,Beartooth_Billings_Clinic
POTASSIUM IODIDE 30ML SOL 1GM/ML,6522742,68.05,Beartooth_Billings_Clinic
POTASSIUM PHOSPHATE 3MM/ML 15ML VIL,6522783,92.7,Beartooth_Billings_Clinic
PRAZOSIN 1MG CAPSULE,6522825,15.8,Beartooth_Billings_Clinic
PRAZOSIN 2MG CAPSULE,6522841,20.5,Beartooth_Billings_Clinic
PREDNISOLONE ACET 1% 5ML DROPS P214,6522882,361.4,Beartooth_Billings_Clinic
PREDNISONE 1MG TABLET          P218,6522940,21.2,Beartooth_Billings_Clinic
PREDNISONE 5MG TABLET          P219,6522957,6.35,Beartooth_Billings_Clinic
PREDNISONE 50MG TABLET         P225,6523013,28.25,Beartooth_Billings_Clinic
PRIMIDONE (MYSOLINE)50MG TABLET,6523062,9.3,Beartooth_Billings_Clinic
PREDNISONE 20MG TABLET         P223,6523104,22.2,Beartooth_Billings_Clinic
PROCAINAMIDE 100MG/ML 10ML VIAL,6523138,252.65,Beartooth_Billings_Clinic
PROCAINAMIDE 500MG 6HR ER TABLET,6523179,178.45,Beartooth_Billings_Clinic
PROCHLORPERAZINE MALEATE 5MG TABLET,6523310,8.45,Beartooth_Billings_Clinic
PROCHLORPERAZINE MALEATE 25MG SUPP*,6523351,39.0,Beartooth_Billings_Clinic
PROCHLORPERAZINE EDIS 2ML 10MG/2ML*,6523401,65.1,Beartooth_Billings_Clinic
PROMETHAZINE HCL 1ML AMP 25MG/1ML,6523500,26.35,Beartooth_Billings_Clinic
PROMETHAZINE HCL 1ML AMP 50MG/1ML,6523518,39.25,Beartooth_Billings_Clinic
PROMETHAZINE HCL 25MG SUPPOS   P281,6523526,44.15,Beartooth_Billings_Clinic
PROMETHAZINE HCL 12.5MG SUPPOS P355,6523559,35.75,Beartooth_Billings_Clinic
PROMETHAZINE HCL 25MG TABLET,6523583,22.75,Beartooth_Billings_Clinic
PROPARACAINE HCL .5% 15ML DROP P301,6523625,204.5,Beartooth_Billings_Clinic
PROPOXYPHENE HCL 65MG CAPSULE  P306,6523682,16.2,Beartooth_Billings_Clinic
PROPRANOLOL HCL 1ML VL 1MG/1ML    *,6523724,175.0,Beartooth_Billings_Clinic
PROPRANOLOL HCL 10MG TABLET    P313,6523740,4.1,Beartooth_Billings_Clinic
PROPRANOLOL HCL 20MG TABLET    P315,6523765,12.3,Beartooth_Billings_Clinic
PROPRANOLOL HCL 80 MG TABLET   P319,6523807,24.15,Beartooth_Billings_Clinic
PROTAMINE SULF 5ML AMP 50MG/5MLP325,6523849,55.95,Beartooth_Billings_Clinic
PSEUDOEPHEDRINE HCL SY 30MG/5MLP334,6523872,27.45,Beartooth_Billings_Clinic
PSEUDOEPHEDRINE 30MG TAB,6523898,3.95,Beartooth_Billings_Clinic
PSYLLIUM 1 PACKET              P337,6523930,7.4,Beartooth_Billings_Clinic
PYRIDOSTIGMINE 60MG TABLET,6523989,13.45,Beartooth_Billings_Clinic
QUININE SULF. 260MG (QUINAMM)  Q021,6524219,26.1,Beartooth_Billings_Clinic
RANITIDINE 150MG TABLET,6524268,5.25,Beartooth_Billings_Clinic
RIFAMPIN 300MG CAPSULE         R018,6524326,12.3,Beartooth_Billings_Clinic
SCOPOLAMINE HYDROBROM PATCH 1.5MG,6524433,108.1,Beartooth_Billings_Clinic
SENNA 187MG TAB                S015,6524565,9.5,Beartooth_Billings_Clinic
SULFAMETHOXAZOLE/TRIMETH 120ML SUSP,6524581,340.45,Beartooth_Billings_Clinic
SILVER SULFADIAZINE 1% 25GM CREAM,6524623,43.45,Beartooth_Billings_Clinic
SIMETHICONE 30ML DRPS 40MG/0.6ML,6524649,25.55,Beartooth_Billings_Clinic
SIMETHICONE 80MG CHEW TAB      S030,6524664,4.25,Beartooth_Billings_Clinic
CARBIDOPA/LEVODOPA 25/100 1 TAB,6524698,24.05,Beartooth_Billings_Clinic
SOD BICARBONATE 8.4% 10ML SYRN S144,6524755,80.45,Beartooth_Billings_Clinic
SOD BICARBONATE 8.4% 50ML SYRN S047,6524763,59.75,Beartooth_Billings_Clinic
SODIUM BICARBONATE 650MG TAB,6524797,12.85,Beartooth_Billings_Clinic
SODIUM CHL .65% 45ML(OCEAN) SPRAY,6524805,15.65,Beartooth_Billings_Clinic
SODIUM CHLOR 0.9% BACTERIOSTAT 30ML,6524821,13.8,Beartooth_Billings_Clinic
SODIUM CHLORIDE 0.9% PF 10ML VIAL,6524847,8.25,Beartooth_Billings_Clinic
SPIRONOLACTONE 25MG TABLET     S061,6524995,5.4,Beartooth_Billings_Clinic
MULTIVITAM PRENATAL W/FOLAT 1MG TAB,6525091,7.95,Beartooth_Billings_Clinic
SUCCINYLCHOLINE 20MG/ML 10ML J0330,6525117,116.8,Beartooth_Billings_Clinic
SUCRALFATE 1GM TAB (CARAFATE)  S103,6525133,7.6,Beartooth_Billings_Clinic
SULFACETAMIDE SOD 10% OPTH SOL 15ML,6525174,194.0,Beartooth_Billings_Clinic
TERBUTALINE SULF 1ML AMP 1MG/1ML  *,6525240,248.45,Beartooth_Billings_Clinic
TEMAZEPAM 15MG CAP(RESTORIL)   T035,6525539,4.65,Beartooth_Billings_Clinic
TETANUS IMMUNE GLOBULIN-HUMAN 25OU,6525562,620.4,Beartooth_Billings_Clinic
TETRACAINE HCL 2% 118ML SOL    T034,6525620,102.8,Beartooth_Billings_Clinic
THEOPHYLLIN ANHYD 200MG TAB SR 12H,6525794,31.9,Beartooth_Billings_Clinic
THEOPHYLLIN ANHYD 300MG TAB SR 12H,6525810,28.35,Beartooth_Billings_Clinic
THIAMINE HCL 100MG TAB         T064,6525885,7.8,Beartooth_Billings_Clinic
THIORIDAZINE 25MG TAB(MELLARIL T077,6525984,11.9,Beartooth_Billings_Clinic
TOBRAMYCIN SULF .3% 5ML DROPS  T323,6526479,279.15,Beartooth_Billings_Clinic
TOBRAMYCIN SULF 2ML VIAL 80MG/2ML *,6526487,48.5,Beartooth_Billings_Clinic
VITAMIN E 400IU CAP (TOCOPHERYL),6526503,5.95,Beartooth_Billings_Clinic
TRAZODONE HCL 50MG TAB (DESYREL)556,6526701,5.1,Beartooth_Billings_Clinic
TRIAMCINOLONE ACET 1ML VL 40MG/1ML,6526800,63.15,Beartooth_Billings_Clinic
TRIAMCINOLONE 0.1% CREAM 15GM,6526875,27.65,Beartooth_Billings_Clinic
TRIMETHOBENZAMIDE SUPP 200MG   T206,6527303,11.85,Beartooth_Billings_Clinic
TUBERCULIN UNITS 5 PER 0.1ML PPD,6527469,54.9,Beartooth_Billings_Clinic
ACETAMINOPHEN/COD 300/30 TAB(TYLENO,6527576,15.2,Beartooth_Billings_Clinic
VASOPRESSIN 1ML VIAL 20U/1ML   V013,6527782,421.55,Beartooth_Billings_Clinic
VERAPAMIL 2.5 MG/ML 2 ML VIAL,6527824,142.3,Beartooth_Billings_Clinic
VERAPAMIL HCL 80MG TAB         V036,6527832,4.5,Beartooth_Billings_Clinic
WARFARIN 2.5MG TAB (COUMADIN)  W003,6528038,5.1,Beartooth_Billings_Clinic
WARFARIN 2MG TAB (COUMADIN)    W001,6528053,26.5,Beartooth_Billings_Clinic
WARFARIN 5MG TAB (COUMADIN)    W005,6528079,4.1,Beartooth_Billings_Clinic
WATER FOR INJEC BACTERIOSTATIC 30ML,6528145,21.4,Beartooth_Billings_Clinic
WATER FOR INJECT STERILE 10ML VIAL,6528152,42.55,Beartooth_Billings_Clinic
PREDNISONE 10MG TABLET         P221,6528475,18.5,Beartooth_Billings_Clinic
ACETAMINOPHEN SUPP 325MG       A012,6528590,14.2,Beartooth_Billings_Clinic
GLIPIZIDE 5MG TAB (GLUCOTROL)  G065,6528624,12.0,Beartooth_Billings_Clinic
PENTOXIFYLINE 400MG (TRENTAL)TAB SA,6528673,19.5,Beartooth_Billings_Clinic
AMPICILLIN 2GM VIAL INJ        A211,6528749,110.6,Beartooth_Billings_Clinic
CEFOTAXIME SOD 1GM PB VIAL     C414,6528764,26.8,Beartooth_Billings_Clinic
CEFOXITIN SOD 2GM(MEFOXIN)INFUS  VL,6528772,139.15,Beartooth_Billings_Clinic
LABETALOL 20ML VIAL 100MG/20ML L125,6528798,31.2,Beartooth_Billings_Clinic
CEFTRIAXONE 1GM (ROCEPHIN) VL  C384,6528871,47.0,Beartooth_Billings_Clinic
MORPHINE SULF 1MG/ML PCA CART  M504,6528889,51.6,Beartooth_Billings_Clinic
CAPTOPRIL 12.5MG TAB (CAPOTEN) C543,6528913,15.9,Beartooth_Billings_Clinic
CLOTRIMAZOLE TROCHE 10 MG      C901,6528939,46.85,Beartooth_Billings_Clinic
HCTZ/TRIAMTERENE 50/75 TAB(MAXZIDE),6529036,24.25,Beartooth_Billings_Clinic
CEFTAZIDIME 1GM VIAL,6529051,101.25,Beartooth_Billings_Clinic
IBUPROFEN 200MG (ADVIL) TABLET I004,6529192,4.05,Beartooth_Billings_Clinic
LABETALOL 100MG TAB            L127,6529234,6.7,Beartooth_Billings_Clinic
NAPROXEN 375MG (NAPROSYN) TAB  N213,6529382,4.1,Beartooth_Billings_Clinic
ENALAPRIL 5MG TAB (VASOTEC)    E106,6529614,9.3,Beartooth_Billings_Clinic
FUROSEMIDE 4ML 40MG/4ML *LASIX*F111,6529689,24.25,Beartooth_Billings_Clinic
MIDAZOLAM HCL 5MG/ML (VERSED) VIAL,6529747,34.2,Beartooth_Billings_Clinic
MIDAZOLAM 5MG/ML 2ML VIAL (10MG),6529754,41.45,Beartooth_Billings_Clinic
VANCOMYCIN HCL 125MG CAP       V003,6529903,36.2,Beartooth_Billings_Clinic
BUMETANIDE 2ML 0.5MG/2ML VIAL  B173,6529929,72.9,Beartooth_Billings_Clinic
HALOPERIDOL DECANOATE 1ML 50MG/ML,6529960,113.65,Beartooth_Billings_Clinic
CEFTRIAXONE 250MG(ROCEPHIN)/VL,6529978,18.2,Beartooth_Billings_Clinic
CLONIDINE TS PATCH 0.2MG,6530059,130.2,Beartooth_Billings_Clinic
TOBRAMYCIN OPHTHALMIC OINTMENT .3%,6530067,171.15,Beartooth_Billings_Clinic
GENTAMICIN 2ML VIAL 20MG/2ML   G071,6530083,39.2,Beartooth_Billings_Clinic
MORPHINE SULFATE 30MG (MS CONTIN),6530091,15.55,Beartooth_Billings_Clinic
ALBUTEROL SULFATE 2MG/5ML,6530133,45.55,Beartooth_Billings_Clinic
NIFEDIPINE 20MG(PROCARDIA) CAP N152,6530158,22.1,Beartooth_Billings_Clinic
MIDAZOLAM 5MG/ML 1ML VIAL,6530281,21.8,Beartooth_Billings_Clinic
AMIODARONE 200MG TAB (CORDARONE),6530349,6.75,Beartooth_Billings_Clinic
CEFTRIAXONE 500MG(ROCEPHIN) VL C393,6530448,36.55,Beartooth_Billings_Clinic
CEFTRIAXONE 2GM VIAL,6530554,31.3,Beartooth_Billings_Clinic
VERAPAMIL SA 240 MG/TAB        V051,6530646,21.15,Beartooth_Billings_Clinic
AZTREONAM 2GM(AZACTAM) VIAL    A427,6530703,302.55,Beartooth_Billings_Clinic
CIPROFLOXACIN 250MG TAB (CIPRO)C381,6530851,5.7,Beartooth_Billings_Clinic
CIPROFLOXACIN 500MG TAB (CIPRO)A382,6530869,5.25,Beartooth_Billings_Clinic
ENALAPRIL 2ML 1.25MG/ML (VASOTEC),6531040,143.8,Beartooth_Billings_Clinic
FLUOXETINE 20 MG CAP,6531115,18.4,Beartooth_Billings_Clinic
CEFUROXIME AXETIL 500MG TAB(CEFTIN),6531131,17.95,Beartooth_Billings_Clinic
BUPIVACAINE HCL 0.25% 30ML VIAL,6531164,45.0,Beartooth_Billings_Clinic
DRONABINOL 2.5MG CAPSULE,6531263,30.3,Beartooth_Billings_Clinic
ACT. CHARCOAL 50GM/240ML,6531313,99.3,Beartooth_Billings_Clinic
BUPIVACAINE HCL/EPI 0.25% 30ML VIAL,6531453,61.5,Beartooth_Billings_Clinic
DICLOFENAC 75MG TAB (VOLTAREN),6531529,8.1,Beartooth_Billings_Clinic
HYDROCODONE/BITAR/APAP 5/500 TAB,6531545,4.5,Beartooth_Billings_Clinic
AMPICILLIN/SUL 3GM VIAL (UNASYN),6531636,38.32,Beartooth_Billings_Clinic
AMOXICILLIN-CLAV 500-125MG TABLET,6531677,8.65,Beartooth_Billings_Clinic
AMOX-CLAVULANT 250-62.5MG/5ML 150ML,6531701,314.95,Beartooth_Billings_Clinic
POTASSIUM CHLOR 20MEQ(K-DUR)TAB PRT,6531719,9.85,Beartooth_Billings_Clinic
DIVALPROEX NA 250MG TAB (DEPAKOTE),6531800,5.25,Beartooth_Billings_Clinic
LISINOPRIL 5MG TABLET,6531834,5.1,Beartooth_Billings_Clinic
LISINOPRIL 10MG TAB            L213,6531842,4.67,Beartooth_Billings_Clinic
LISINOPRIL 20MG TABLET,6531859,4.2,Beartooth_Billings_Clinic
METOPROLOL TARTRATE 5ML AMP 5MG/5ML,6531966,15.2,Beartooth_Billings_Clinic
NYSTATIN TOPICAL POWDER 15GM,6531974,36.45,Beartooth_Billings_Clinic
LUPRON DEPOT 7.5MG KIT (URO),6532014,2142.5,Beartooth_Billings_Clinic
VANCOMYCIN 500MG VIAL,6532113,47.65,Beartooth_Billings_Clinic
VANCOMYCIN HCL 1GM VIAL        V054,6532121,88.9,Beartooth_Billings_Clinic
EPOETIN 4000 UNITS/ML 1ML VIAL,6532188,204.5,Beartooth_Billings_Clinic
BUPROPION 100MG TAB(WELLBUTRIN)B410,6532253,11.8,Beartooth_Billings_Clinic
NIFEDIPINE 30MG(ADALAT CC) TAB SA,6532261,15.9,Beartooth_Billings_Clinic
NIFEDIPINE 60MG(PROCARDIA) TAB SA,6532279,17.5,Beartooth_Billings_Clinic
PHOSPHA NEUTRAL 250MG TAB,6532386,7.1,Beartooth_Billings_Clinic
SODIUM BICARBONATE 4.2% 10ML SYRING,6532493,59.0,Beartooth_Billings_Clinic
PROPOFOL 10MG/ML 20ML VIAL,6532501,39.8,Beartooth_Billings_Clinic
OMEPRAZOLE 20MG (PRILOSEC) CAP SA,6532535,54.55,Beartooth_Billings_Clinic
MAGNESIUM CHLORIDE SA 64MG TABLET,6532568,4.65,Beartooth_Billings_Clinic
SILVER SULFADIAZINE 1% 50GM CREAM,6532576,84.35,Beartooth_Billings_Clinic
CLOTRIMAZOLE/BETAMETH 15GM CREAM,6532642,46.05,Beartooth_Billings_Clinic
VERAPAMIL SA 180 MG TAB        V492,6532808,26.6,Beartooth_Billings_Clinic
FLUCONAZOLE 100MG TABLET (DIFLUCAN),6532873,15.35,Beartooth_Billings_Clinic
KETOROLAC TROMETHAMINE ML 30MG/ML,6532915,18.95,Beartooth_Billings_Clinic
KETOROLAC TROMETHAMINE 2ML 60MG/2ML,6532923,29.6,Beartooth_Billings_Clinic
GEMFIBROZIL 600MG TAB (LOPID)  G250,6532998,30.5,Beartooth_Billings_Clinic
BUMETANIDE 0.25MG/ML 10ML VIAL,6533038,21.6,Beartooth_Billings_Clinic
ADENOSINE 2ML 3MG/ML(ADENOCARD)A518,6533111,291.25,Beartooth_Billings_Clinic
NORTRIPTYLINE HCL 50MG CAPSULE N560,6533335,5.45,Beartooth_Billings_Clinic
LOVASTATIN 20 MG TAB,6533384,9.1,Beartooth_Billings_Clinic
AMOXICILLIN-CLAV 250-125MG TABLET,6533459,40.55,Beartooth_Billings_Clinic
LEVOTHYROXINE SOD 200MCG VIAL  L129,6533608,267.0,Beartooth_Billings_Clinic
ERYTHROMYCIN EC 250MG TAB (E-MYCIN),6533616,67.05,Beartooth_Billings_Clinic
FAMOTIDINE 20MG TAB (PEPCID)   F143,6533640,4.65,Beartooth_Billings_Clinic
BUSPIRONE 5MG TAB (BUSPAR)     B400,6533681,11.55,Beartooth_Billings_Clinic
BUSPIRONE HYDRO 10 MG,6533699,11.0,Beartooth_Billings_Clinic
FENTANYL 25MCG/HR PATCH (DURAGESIC),6534002,34.05,Beartooth_Billings_Clinic
FENTANYL 50MCG/HR PATCH (DURAGESIC),6534010,36.9,Beartooth_Billings_Clinic
FENTANYL 75MCG/HR PATCH (DURAGESIC),6534028,41.8,Beartooth_Billings_Clinic
FENTANYL 100MCG/HR PATCH (DURAGESIC,6534036,202.9,Beartooth_Billings_Clinic
CIPROFLOXACIN 400MG/200ML D5W PREMI,6534044,31.3,Beartooth_Billings_Clinic
MANNITOL 20% 500ML IV SOL      1158,6536817,199.7,Beartooth_Billings_Clinic
NITROGLYCERIN/D5W 250ML 25MG/250ML,6536841,100.5,Beartooth_Billings_Clinic
SODIUM CHLOR .9% 1000ML IV SOL,6536957,82.6,Beartooth_Billings_Clinic
LIDOCAINE/D5W 2GM/250ML 250ML IV,6537294,86.15,Beartooth_Billings_Clinic
HEPARIN/.45%NACL 250ML 25000U/250ML,6537310,44.05,Beartooth_Billings_Clinic
DOPAMINE INJECTION HCI 40MG,6537328,106.2,Beartooth_Billings_Clinic
HEPARIN 100 UNITS/ML 10ML VIAL,6537419,28.95,Beartooth_Billings_Clinic
CALCIUM ACETATE 667MG TAB,6537450,15.3,Beartooth_Billings_Clinic
TERAZOSIN 2 MG,6537658,5.05,Beartooth_Billings_Clinic
TERAZOSIN 5MG CAP,6537674,5.05,Beartooth_Billings_Clinic
ACYCLOVIR 800MG TAB  (ZOVIRAX) A435,6537930,4.85,Beartooth_Billings_Clinic
DEXTROSE 40% GEL 15 GM,6537997,34.7,Beartooth_Billings_Clinic
NICOTINE 7MG/24HR ADH PATCH    N701,6538052,17.85,Beartooth_Billings_Clinic
NICOTINE 14MG/24HR ADH PATCH   N702,6538060,25.1,Beartooth_Billings_Clinic
NICOTINE 21MG/24HR ADH PATCH   N703,6538078,25.1,Beartooth_Billings_Clinic
DILTIAZEM CD 180MG CAP (CARDIZEM),6538201,27.05,Beartooth_Billings_Clinic
DILTIAZEM CD 240MG CAP (CARDIZEM),6538219,33.7,Beartooth_Billings_Clinic
DILTIAZEM CD 300MG CAP (CARDIZEM),6538227,16.6,Beartooth_Billings_Clinic
SERTRALINE HCL 50MG TAB(ZOLOFT)S451,6538235,5.35,Beartooth_Billings_Clinic
METRONIDAZOLE 500 MG TAB       M549,6538268,9.0,Beartooth_Billings_Clinic
DILTIAZEM HCL 25MG/5ML VIAL    D708,6538276,286.4,Beartooth_Billings_Clinic
SOD BICARBONATE 4% 5ML VIAL    S506,6538391,43.25,Beartooth_Billings_Clinic
LEVOTHYROXINE SOD .175MG TAB   L130,6538409,11.4,Beartooth_Billings_Clinic
VERAPAMIL SA 120 MG TAB        V496,6538532,37.15,Beartooth_Billings_Clinic
IBUPROFEN 100MG/5ML ORAL SUS 120ML,6538573,37.1,Beartooth_Billings_Clinic
ERYTHROMYCIN EC 333MG TAB (E-MYCIN),6538623,39.75,Beartooth_Billings_Clinic
LEVOTHYROXINE SOD .112MG TAB   L137,6538631,10.05,Beartooth_Billings_Clinic
ALTEPLASE 100MG VIAL,6538680,16375.9,Beartooth_Billings_Clinic
DILTIAZEM CD 120MG CAP (CARDIZEM),6538714,31.75,Beartooth_Billings_Clinic
MORPHINE SULF 15MG TABLET SA   M575,6538813,9.6,Beartooth_Billings_Clinic
NAPROXEN 500MG (NAPROSYN) TAB  N563,6538821,5.5,Beartooth_Billings_Clinic
HYOSCYAMINE SULF .125MG TABLET H267,6538862,5.45,Beartooth_Billings_Clinic
MORPHINE SULF 60MG TAB,6538946,21.5,Beartooth_Billings_Clinic
SUMATRIPTAN SUCCINATE 6MG 6MG/.5ML*,6538979,270.9,Beartooth_Billings_Clinic
FLUOXETINE 10MG CAP,6538995,15.25,Beartooth_Billings_Clinic
SOTALOL 80MG TABLET,6539027,16.85,Beartooth_Billings_Clinic
PAROXETINE HCL 20MG TAB(PAXIL) P379,6539050,5.6,Beartooth_Billings_Clinic
MESALAMINE 400MG(ASACOL) TABLET EC,6539100,32.0,Beartooth_Billings_Clinic
DIVALPROEX SPRINKLE 125MG CAP,6539134,14.7,Beartooth_Billings_Clinic
ENOXAPARIN .3ML 30MG/.3ML (LOVENOX),6539209,30.75,Beartooth_Billings_Clinic
GLYBURIDE 5 MG TAB             G253,6539241,7.25,Beartooth_Billings_Clinic
ZOLPIDEM 5MG TAB (AMBIEN)      Z015,6539423,4.3,Beartooth_Billings_Clinic
ONDANSETRON HCL 2ML VIAL 4MG/2ML,6539514,20.9,Beartooth_Billings_Clinic
RISPERIDONE 1MG TAB(RISPERDAL) R102,6539589,5.7,Beartooth_Billings_Clinic
